comune,anno,popolazione_residente,superficie_kmq,arrivi_totali,presenze_totali,numero_strutture_totali,letti_totali,camere_totali,abitazioni_occupate,abitazioni_non_occupate,abitazioni_totali,presenze_per_residente,presenze_per_kmq,tasso_occupazione_media,permanenza_media_giorni,crescita_presenze_yoy_pct,crescita_letti_yoy_pct,letti_per_struttura,letti_per_residente,quota_abitazioni_non_occupate_pct,posti_letto_informali_stimati,pressione_potenziale_totale,densita_abitanti_kmq,gini_stagionalita,gini_stagionalita_solo_mesi_attivi,n_mesi_con_dati_turismo
Mogorella,2022,412,17.25,,,,,,188,128,316,,,,,,,,,40.5,294.0,,23.9,,,
Mogorella,2023,408,17.25,,,,,,186,132,318,,,,,,,,,41.5,304.0,,23.7,,,
Mogorella,2024,402,17.25,,,,,,186,132,318,,,,,,,,,41.5,304.0,,23.3,,,
Mogorella,2025,393,17.25,,,1.0,4.0,2.0,186,132,318,,,,,,,4.0,0.01,41.5,304.0,0.783,22.8,,,
Mogoro,2022,3959,48.778,,,4.0,22.0,11.0,1686,686,2372,,,,,,,5.5,0.006,28.9,1578.0,0.404,81.2,,,
Monteleone Rocca Doria,2022,111,13.542,,,2.0,11.0,2.0,61,76,137,,,,,,,5.5,0.099,55.5,175.0,1.674,8.2,,,
Monteleone Rocca Doria,2023,106,13.542,,,2.0,11.0,2.0,58,78,136,,,,,,0.0,5.5,0.104,57.4,179.0,1.796,7.8,,,
Monteleone Rocca Doria,2024,103,13.542,,,2.0,11.0,2.0,58,78,136,,,,,,0.0,5.5,0.107,57.4,179.0,1.849,7.6,,,
Montresta,2022,440,31.467,,,,,,210,295,505,,,,,,,,,58.4,679.0,,14.0,,,
Montresta,2023,438,31.467,,,,,,210,292,502,,,,,,,,,58.2,672.0,,13.9,,,
Montresta,2024,443,31.467,,,,,,210,292,502,,,,,,,,,58.2,672.0,,14.1,,,
Montresta,2025,435,31.467,,,,,,210,292,502,,,,,,,,,58.2,672.0,,13.8,,,
Mores,2022,1758,94.698,,,2.0,26.0,14.0,822,538,1360,,,,,,,13.0,0.015,39.6,1237.0,0.719,18.6,,,
Morgongiori,2022,661,45.119,,,1.0,12.0,5.0,319,200,519,,,,,,,12.0,0.018,38.5,460.0,0.714,14.7,,,
