comune,scalo,distanza_km,correlazione,n_mesi_validi,peso_distanza,peso_correlazione,punteggio,probabilita
Nughedu San Nicolò,Porto_Olbia,60.7,0.877,7,0.2970068727128105,0.877,0.2604750273691348,0.18352308589464314
Nughedu San Nicolò,Porto_Porto Torres,72.5,0.861,7,0.23457028809379765,0.861,0.20196501804875977,0.1422986446318645
Nughedu San Nicolò,Porto_Golfo Aranci,71.3,0.874,7,0.2402680749592907,0.874,0.20999429751442006,0.1479558401025082
Nughedu San Nicolò,Porto_Arbatax,89.0,0.849,7,0.1686381472685955,0.849,0.14317378703103756,0.10087606278632456
Nughedu San Nicolò,Porto_Porto Vesme,157.6,,7,0.04276650826045223,0.5,0.021383254130226115,0.015066015441423025
Nule,Aeroporto_Cagliari,137.7,,0,0.06367266050355459,0.5,0.031836330251777296,0.03659017958466952
Nule,Aeroporto_Olbia,51.3,,0,0.3584378482789939,0.5,0.17921892413949694,0.20598016691541793
Nule,Aeroporto_Alghero,80.4,,0,0.20028778934517305,0.5,0.10014389467258653,0.11509753358503397
Nule,Porto_Cagliari,140.4,,0,0.06032552286745654,0.5,0.03016276143372827,0.034666710921182516
Nule,Porto_Olbia,53.6,,0,0.34232318594378797,0.5,0.17116159297189398,0.19671970278327164
Nule,Porto_Porto Torres,91.1,,0,0.16170202326758853,0.5,0.08085101163379427,0.09292380785997104
Nule,Porto_Golfo Aranci,63.5,,0,0.2808316217783798,0.5,0.1404158108891899,0.16138291368163035
Nule,Porto_Arbatax,72.9,,0,0.23270121206157102,0.5,0.11635060603078551,0.13372425577266106
Nule,Porto_Porto Vesme,161.1,,0,0.039875228001002336,0.5,0.019937614000501168,0.022914728896162043
Nulvi,Aeroporto_Cagliari,173.8,0.792,11,0.03093088746511159,0.792,0.02449726287236838,0.014801138803663757
Nulvi,Aeroporto_Olbia,64.8,0.943,11,0.27362410337040804,0.943,0.25802752947829477,0.15589910182506256
Nulvi,Aeroporto_Alghero,43.5,0.815,11,0.418951549247639,0.815,0.34144551263682577,0.2062998814502736
Nulvi,Porto_Cagliari,177.2,0.92,11,0.028897505571318673,0.92,0.02658570512561318,0.016062966454971645
Nulvi,Porto_Olbia,62.6,0.954,11,0.285932359894248,0.954,0.27277947133911257,0.1648121604081022
Nulvi,Porto_Porto Torres,39.8,0.963,11,0.4511298794030424,0.963,0.4344380738651298,0.26248557915941767
Nulvi,Porto_Golfo Aranci,72.0,0.948,11,0.23692775868212176,0.948,0.22460751523065142,0.13570687576793297
Nulvi,Porto_Arbatax,124.5,0.877,11,0.08290996657517266,0.877,0.07271204068642642,0.04393229613057565
Nulvi,Porto_Porto Vesme,181.7,-0.269,11,0.026410331518177187,0.0,0.0,0.0
Olbia,Aeroporto_Cagliari,189.4,0.875,12,0.022640838276170343,0.875,0.019810733491649052,0.006636785238117378
Olbia,Aeroporto_Olbia,5.2,0.976,12,0.9012252974212047,0.976,0.8795958902830958,0.29467303785598664
Olbia,Aeroporto_Alghero,105.5,0.892,12,0.12123796643338168,0.892,0.10814426605857647,0.03622936368646563
Olbia,Porto_Cagliari,191.8,0.923,12,0.021579747928775563,0.923,0.019918107338259845,0.006672756503918656
Olbia,Porto_Olbia,0.0,0.96,12,1.0,0.96,0.96,0.32160918379314046
Olbia,Porto_Porto Torres,97.4,0.967,12,0.1425589044676234,0.967,0.13785446062019183,0.04618256308573283
Olbia,Porto_Golfo Aranci,10.6,0.949,12,0.8089646975664998,0.949,0.7677074979906082,0.25718935606315996
Olbia,Porto_Arbatax,110.9,0.845,12,0.10882654440571013,0.845,0.09195843002282506,0.03080695377347853
Olbia,Porto_Porto Vesme,214.6,-0.266,12,0.013677542838356711,0.0,0.0,0.0
Olmedo,Aeroporto_Cagliari,165.7,0.781,12,0.03637040079899882,0.781,0.028405283024018083,0.017034823311427368
Olmedo,Aeroporto_Olbia,99.0,0.918,12,0.13806923731089282,0.918,0.12674755985139963,0.07601129287807173
Olmedo,Aeroporto_Alghero,8.3,0.8,12,0.8470462341893996,0.8,0.6776369873515198,0.40638307807250285
Olmedo,Porto_Cagliari,169.6,0.94,12,0.03364132691820462,0.94,0.03162284730311234,0.018964416441732943
Olmedo,Porto_Olbia,97.2,0.937,12,0.14313028207887982,0.937,0.1341130743079104,0.0804284372965355
Olmedo,Porto_Porto Torres,32.6,0.958,12,0.5210027286033344,0.958,0.49912061400199437,0.2993257086516577
Olmedo,Porto_Golfo Aranci,107.0,0.942,12,0.11765484302177918,0.942,0.11083086212651598,0.06646595114655193
Olmedo,Porto_Arbatax,136.9,0.912,12,0.06469961681378547,0.912,0.05900605053417235,0.03538629220152003
Olmedo,Porto_Porto Vesme,162.4,-0.242,12,0.03885183384752591,0.0,0.0,0.0
Oschiri,Aeroporto_Cagliari,164.1,0.555,9,0.03755307549992954,0.555,0.020841956902460896,0.015685426191693178
Oschiri,Aeroporto_Olbia,39.2,0.638,9,0.4565760496233147,0.638,0.2912955196596748,0.21922578551408703
Oschiri,Aeroporto_Alghero,69.4,0.544,9,0.24957395372380728,0.544,0.13576823082575118,0.10217766852510063
Oschiri,Porto_Cagliari,167.1,0.814,9,0.03536615463284522,0.814,0.028788049871136007,0.02166556785285212
Oschiri,Porto_Olbia,38.6,0.662,9,0.4620879675837,0.662,0.30590223454040943,0.23021863754027164
Oschiri,Porto_Porto Torres,69.7,0.726,9,0.24808099336142997,0.726,0.18010680118039815,0.13554638605953204
Oschiri,Porto_Golfo Aranci,49.1,0.7,9,0.3745612267757298,0.7,0.26219285874301085,0.1973234448688904
Oschiri,Porto_Arbatax,101.2,0.786,9,0.1321259030499441,0.786,0.10385095979725606,0.07815708344757295
Oschiri,Porto_Porto Vesme,181.9,-0.292,9,0.026304901193327908,0.0,0.0,0.0
Osilo,Aeroporto_Cagliari,171.0,0.499,6,0.03271243493901982,0.499,0.01632350503457089,0.011802788577258467
Osilo,Aeroporto_Olbia,72.1,0.85,6,0.2364543767045291,0.85,0.20098622019884974,0.1453240501304932
Osilo,Aeroporto_Alghero,35.7,0.589,6,0.48968154858573615,0.589,0.2884224321169986,0.20854522236529607
Osilo,Porto_Cagliari,174.4,0.734,6,0.030561934957992438,0.734,0.02243246025916645,0.016219897941401554
Osilo,Porto_Olbia,70.0,0.815,6,0.2465969639416065,0.815,0.20097652561240928,0.14531704041328736
Osilo,Porto_Porto Torres,35.8,0.854,6,0.4887031641990795,0.854,0.4173525022260139,0.3017687277046824
