comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Banari,2025,9,238.0,19.0,3.43,0,True
Banari,2025,10,238.0,19.0,3.43,0,True
Banari,2025,11,238.0,19.0,3.43,0,True
Banari,2025,12,238.0,19.0,3.43,0,True
Baradili,2025,1,201.0,30.0,1.84,0,True
Baradili,2025,2,201.0,30.0,1.84,0,True
Baradili,2025,3,201.0,30.0,1.84,0,True
Baradili,2025,4,201.0,30.0,1.84,0,True
Baradili,2025,5,201.0,30.0,1.84,0,True
Baradili,2025,6,201.0,30.0,1.84,0,True
Baradili,2025,7,201.0,30.0,1.84,0,True
Baradili,2025,8,201.0,30.0,1.84,0,True
Baradili,2025,9,201.0,30.0,1.84,0,True
Baradili,2025,10,201.0,30.0,1.84,0,True
Baradili,2025,11,201.0,30.0,1.84,0,True
Baradili,2025,12,201.0,30.0,1.84,0,True
Baratili San Pietro,2025,1,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,2,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,3,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,4,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,5,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,6,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,7,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,8,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,9,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,10,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,11,3564.99,169.0,5.78,0,True
Baratili San Pietro,2025,12,3564.99,169.0,5.78,0,True
Baressa,2025,1,1358.0,24.0,15.5,0,True
Baressa,2025,2,1358.0,24.0,15.5,0,True
Baressa,2025,3,1358.0,24.0,15.5,0,True
Baressa,2025,4,1358.0,24.0,15.5,0,True
Baressa,2025,5,1358.0,24.0,15.5,0,True
Baressa,2025,6,1358.0,24.0,15.5,0,True
Baressa,2025,7,1358.0,24.0,15.5,0,True
Baressa,2025,8,1358.0,24.0,15.5,0,True
Baressa,2025,9,1358.0,24.0,15.5,0,True
Baressa,2025,10,1358.0,24.0,15.5,0,True
Baressa,2025,11,1358.0,24.0,15.5,0,True
Baressa,2025,12,1358.0,24.0,15.5,0,True
Bari Sardo,2025,1,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,2,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,3,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,4,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,5,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,6,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,7,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,8,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,9,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,10,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,11,251887.0,3618.0,19.07,0,True
Bari Sardo,2025,12,251887.0,3618.0,19.07,0,True
Barrali,2025,1,0.0,4.0,0.0,0,True
Barrali,2025,2,0.0,4.0,0.0,0,True
Barrali,2025,3,0.0,4.0,0.0,0,True
Barrali,2025,4,0.0,4.0,0.0,0,True
Barrali,2025,5,0.0,4.0,0.0,0,True
Barrali,2025,6,0.0,4.0,0.0,0,True
Barrali,2025,7,0.0,4.0,0.0,0,True
Barrali,2025,8,0.0,4.0,0.0,0,True
Barrali,2025,9,0.0,4.0,0.0,0,True
Barrali,2025,10,0.0,4.0,0.0,0,True
Barrali,2025,11,0.0,4.0,0.0,0,True
Barrali,2025,12,0.0,4.0,0.0,0,True
Barumini,2025,1,3105.0,63.0,13.5,0,True
Barumini,2025,2,3105.0,63.0,13.5,0,True
Barumini,2025,3,3105.0,63.0,13.5,0,True
Barumini,2025,4,3105.0,63.0,13.5,0,True
Barumini,2025,5,3105.0,63.0,13.5,0,True
Barumini,2025,6,3105.0,63.0,13.5,0,True
Barumini,2025,7,3105.0,63.0,13.5,0,True
Barumini,2025,8,3105.0,63.0,13.5,0,True
Barumini,2025,9,3105.0,63.0,13.5,0,True
Barumini,2025,10,3105.0,63.0,13.5,0,True
Barumini,2025,11,3105.0,63.0,13.5,0,True
Barumini,2025,12,3105.0,63.0,13.5,0,True
Bauladu,2025,1,1537.01,33.0,12.76,0,True
Bauladu,2025,2,1537.01,33.0,12.76,0,True
Bauladu,2025,3,1537.01,33.0,12.76,0,True
Bauladu,2025,4,1537.01,33.0,12.76,0,True
Bauladu,2025,5,1537.01,33.0,12.76,0,True
Bauladu,2025,6,1537.01,33.0,12.76,0,True
Bauladu,2025,7,1537.01,33.0,12.76,0,True
Bauladu,2025,8,1537.01,33.0,12.76,0,True
Bauladu,2025,9,1537.01,33.0,12.76,0,True
Bauladu,2025,10,1537.01,33.0,12.76,0,True
Bauladu,2025,11,1537.01,33.0,12.76,0,True
Bauladu,2025,12,1537.01,33.0,12.76,0,True
Baunei,2025,1,145177.0,2772.0,14.35,0,True
Baunei,2025,2,145177.0,2772.0,14.35,0,True
Baunei,2025,3,145177.0,2772.0,14.35,0,True
Baunei,2025,4,145177.0,2772.0,14.35,0,True
Baunei,2025,5,145177.0,2772.0,14.35,0,True
Baunei,2025,6,145177.0,2772.0,14.35,0,True
Baunei,2025,7,145177.0,2772.0,14.35,0,True
Baunei,2025,8,145177.0,2772.0,14.35,0,True
Baunei,2025,9,145177.0,2772.0,14.35,0,True
Baunei,2025,10,145177.0,2772.0,14.35,0,True
Baunei,2025,11,145177.0,2772.0,14.35,0,True
Baunei,2025,12,145177.0,2772.0,14.35,0,True
Belvì,2025,1,272.99,52.0,1.44,0,True
Belvì,2025,2,272.99,52.0,1.44,0,True
Belvì,2025,3,272.99,52.0,1.44,0,True
Belvì,2025,4,272.99,52.0,1.44,0,True
Belvì,2025,5,272.99,52.0,1.44,0,True
Belvì,2025,6,272.99,52.0,1.44,0,True
Belvì,2025,7,272.99,52.0,1.44,0,True
Belvì,2025,8,272.99,52.0,1.44,0,True
Belvì,2025,9,272.99,52.0,1.44,0,True
Belvì,2025,10,272.99,52.0,1.44,0,True
Belvì,2025,11,272.99,52.0,1.44,0,True
Belvì,2025,12,272.99,52.0,1.44,0,True
Benetutti,2025,1,9351.0,202.0,12.68,0,True
Benetutti,2025,2,9351.0,202.0,12.68,0,True
Benetutti,2025,3,9351.0,202.0,12.68,0,True
Benetutti,2025,4,9351.0,202.0,12.68,0,True
Benetutti,2025,5,9351.0,202.0,12.68,0,True
Benetutti,2025,6,9351.0,202.0,12.68,0,True
Benetutti,2025,7,9351.0,202.0,12.68,0,True
