,comune,anno,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
166,Oliena,2022,39716.0,467.0,23.3,0,True
167,Ollastra,2022,0.0,6.0,0.0,0,True
168,Ollolai,2022,183.0,42.0,1.19,0,True
169,Olmedo,2022,5300.0,262.0,5.54,0,True
170,Olzai,2022,0.0,10.0,0.0,0,True
171,Onifai,2022,1397.99,65.0,5.89,0,True
172,Oniferi,2022,0.0,18.0,0.0,0,True
173,Orani,2022,1859.0,36.0,14.15,0,True
174,Orgosolo,2022,4796.0,216.0,6.08,0,True
175,Oristano,2022,171738.0,2758.0,17.06,0,True
176,Orosei,2022,863116.0,10547.0,22.42,0,True
177,Orotelli,2022,0.0,8.0,0.0,0,True
178,Orroli,2022,305.99,79.0,1.06,0,True
179,Ortueri,2022,0.0,13.0,0.0,0,True
180,Oschiri,2022,1656.99,38.0,11.95,0,True
181,Osidda,2022,0.0,20.0,0.0,0,True
182,Osilo,2022,801.0,39.0,5.63,0,True
183,Osini,2022,937.0000000000001,135.0,1.9,0,True
184,Ossi,2022,0.0,25.0,0.0,0,True
185,Ottana,2022,0.0,47.0,0.0,0,True
186,Ovodda,2022,0.0,19.0,0.0,0,True
187,Ozieri,2022,4089.0,117.0,9.57,0,True
188,Pabillonis,2022,361.0,17.0,5.82,0,True
189,Padria,2022,0.0,22.0,0.0,0,True
190,Padru,2022,171.0,223.0,0.21,0,True
191,Palau,2022,542032.0,9949.0,14.93,0,True
192,Palmas Arborea,2022,0.0,44.0,0.0,0,True
193,Pattada,2022,0.0,105.0,0.0,0,True
194,Pauli Arbarei,2022,0.0,24.0,0.0,0,True
195,Paulilatino,2022,1417.0,40.0,9.71,0,True
196,Perdasdefogu,2022,182.01,12.0,4.16,0,True
197,Perdaxius,2022,0.0,2.0,0.0,0,True
198,Perfugas,2022,653.0,71.0,2.52,0,True
199,Piscinas,2022,0.0,31.0,0.0,0,True
200,Ploaghe,2022,0.0,30.0,0.0,0,True
201,Porto Torres,2022,51128.0,970.0,14.44,0,True
202,Portoscuso,2022,21595.0,456.0,12.97,0,True
203,Posada,2022,29128.0,1311.0,6.09,0,True
204,Pozzomaggiore,2022,0.0,28.0,0.0,0,True
205,Pula,2022,450787.0,9195.0,13.43,0,True
206,Putifigari,2022,0.0,33.0,0.0,0,True
207,Quartu Sant'Elena,2022,220999.0,5075.0,11.93,0,True
208,Quartucciu,2022,9296.0,253.0,10.07,0,True
209,Riola Sardo,2022,10789.0,335.0,8.82,0,True
210,Romana,2022,0.0,20.0,0.0,0,True
211,Ruinas,2022,0.0,6.0,0.0,0,True
212,Sadali,2022,0.0,42.0,0.0,0,True
213,Sagama,2022,0.0,31.0,0.0,0,True
214,Samassi,2022,0.0,6.0,0.0,0,True
215,Samugheo,2022,0.0,47.0,0.0,0,True
216,San Basilio,2022,0.0,6.0,0.0,0,True
217,San Gavino Monreale,2022,497.0,42.0,3.24,0,True
218,San Giovanni Suergiu,2022,5502.0,270.0,5.58,0,True
219,San Nicolò D'Arcidano,2022,0.0,21.0,0.0,0,True
220,San Nicolò Gerrei,2022,0.0,6.0,0.0,0,True
221,San Sperate,2022,621.99,80.0,2.13,0,True
222,San Teodoro,2022,686821.0,13523.0,13.91,0,True
223,San Vero Milis,2022,43590.0,1089.0,10.97,0,True
224,San Vito,2022,3649.0,171.0,5.85,0,True
225,Sanluri,2022,3899.01,125.0,8.55,0,True
226,Sant'Andrea Frius,2022,0.0,5.0,0.0,0,True
227,Sant'Anna Arresi,2022,71680.0,1734.0,11.33,0,True
228,Sant'Antioco,2022,98248.0,3142.0,8.57,0,True
229,Sant'Antonio Di Gallura,2022,0.0,137.0,0.0,0,True
230,Santa Giusta,2022,640.99,57.0,3.08,0,True
231,Santa Maria Coghinas,2022,8138.000000000001,282.0,7.91,0,True
232,Santa Teresa Gallura,2022,480212.0,10481.0,12.55,0,True
233,Santadi,2022,352.0,82.0,1.18,0,True
234,Santu Lussurgiu,2022,6948.0,226.0,8.42,0,True
235,Sardara,2022,55254.0,388.0,39.02,0,True
236,Sarroch,2022,15611.0,472.0,9.06,0,True
237,Sarule,2022,0.0,36.0,0.0,0,True
238,Sassari,2022,182433.0,2739.0,18.25,0,True
239,Scano Di Montiferro,2022,606.0,80.0,2.08,0,True
240,Sedilo,2022,598.99,30.0,5.47,0,True
241,Sedini,2022,0.0,42.0,0.0,0,True
242,Selargius,2022,24899.0,404.0,16.89,0,True
243,Seneghe,2022,0.0,41.0,0.0,0,True
244,Sennariolo,2022,994.99,64.0,4.26,0,True
245,Sennori,2022,0.0,76.0,0.0,0,True
246,Senorbì,2022,830.0,57.0,3.99,0,True
247,Serdiana,2022,0.0,20.0,0.0,0,True
248,Serramanna,2022,353.99,16.0,6.06,0,True
