,comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
173,Arzana,2022,6,0.0,73.0,0.0,0,True
174,Arzana,2022,7,0.0,73.0,0.0,0,True
175,Arzana,2022,8,0.0,73.0,0.0,0,True
176,Arzana,2022,9,0.0,73.0,0.0,0,True
177,Arzana,2022,10,0.0,73.0,0.0,0,True
178,Arzana,2022,11,0.0,73.0,0.0,0,True
179,Arzana,2022,12,0.0,73.0,0.0,0,True
180,Assemini,2022,1,27929.0,655.0,11.68,0,True
181,Assemini,2022,2,27929.0,655.0,11.68,0,True
182,Assemini,2022,3,27929.0,655.0,11.68,0,True
183,Assemini,2022,4,27929.0,655.0,11.68,0,True
184,Assemini,2022,5,27929.0,655.0,11.68,0,True
185,Assemini,2022,6,27929.0,655.0,11.68,0,True
186,Assemini,2022,7,27929.0,655.0,11.68,0,True
187,Assemini,2022,8,27929.0,655.0,11.68,0,True
188,Assemini,2022,9,27929.0,655.0,11.68,0,True
189,Assemini,2022,10,27929.0,655.0,11.68,0,True
190,Assemini,2022,11,27929.0,655.0,11.68,0,True
191,Assemini,2022,12,27929.0,655.0,11.68,0,True
192,Assolo,2022,1,0.0,18.0,0.0,0,True
193,Assolo,2022,2,0.0,18.0,0.0,0,True
194,Assolo,2022,3,0.0,18.0,0.0,0,True
195,Assolo,2022,4,0.0,18.0,0.0,0,True
196,Assolo,2022,5,0.0,18.0,0.0,0,True
197,Assolo,2022,6,0.0,18.0,0.0,0,True
198,Assolo,2022,7,0.0,18.0,0.0,0,True
199,Assolo,2022,8,0.0,18.0,0.0,0,True
200,Assolo,2022,9,0.0,18.0,0.0,0,True
201,Assolo,2022,10,0.0,18.0,0.0,0,True
202,Assolo,2022,11,0.0,18.0,0.0,0,True
203,Assolo,2022,12,0.0,18.0,0.0,0,True
204,Atzara,2022,1,454.0,24.0,5.18,0,True
205,Atzara,2022,2,454.0,24.0,5.18,0,True
206,Atzara,2022,3,454.0,24.0,5.18,0,True
207,Atzara,2022,4,454.0,24.0,5.18,0,True
208,Atzara,2022,5,454.0,24.0,5.18,0,True
209,Atzara,2022,6,454.0,24.0,5.18,0,True
210,Atzara,2022,7,454.0,24.0,5.18,0,True
211,Atzara,2022,8,454.0,24.0,5.18,0,True
212,Atzara,2022,9,454.0,24.0,5.18,0,True
213,Atzara,2022,10,454.0,24.0,5.18,0,True
214,Atzara,2022,11,454.0,24.0,5.18,0,True
215,Atzara,2022,12,454.0,24.0,5.18,0,True
216,Austis,2022,1,0.0,48.0,0.0,0,True
217,Austis,2022,2,0.0,48.0,0.0,0,True
218,Austis,2022,3,0.0,48.0,0.0,0,True
219,Austis,2022,4,0.0,48.0,0.0,0,True
220,Austis,2022,5,0.0,48.0,0.0,0,True
221,Austis,2022,6,0.0,48.0,0.0,0,True
222,Austis,2022,7,0.0,48.0,0.0,0,True
223,Austis,2022,8,0.0,48.0,0.0,0,True
224,Austis,2022,9,0.0,48.0,0.0,0,True
225,Austis,2022,10,0.0,48.0,0.0,0,True
226,Austis,2022,11,0.0,48.0,0.0,0,True
227,Austis,2022,12,0.0,48.0,0.0,0,True
228,Badesi,2022,1,335665.0,4953.0,18.57,0,True
229,Badesi,2022,2,335665.0,4953.0,18.57,0,True
230,Badesi,2022,3,335665.0,4953.0,18.57,0,True
231,Badesi,2022,4,335665.0,4953.0,18.57,0,True
232,Badesi,2022,5,335665.0,4953.0,18.57,0,True
233,Badesi,2022,6,335665.0,4953.0,18.57,0,True
234,Badesi,2022,7,335665.0,4953.0,18.57,0,True
235,Badesi,2022,8,335665.0,4953.0,18.57,0,True
236,Badesi,2022,9,335665.0,4953.0,18.57,0,True
237,Badesi,2022,10,335665.0,4953.0,18.57,0,True
238,Badesi,2022,11,335665.0,4953.0,18.57,0,True
239,Badesi,2022,12,335665.0,4953.0,18.57,0,True
240,Ballao,2022,1,0.0,8.0,0.0,0,True
241,Ballao,2022,2,0.0,8.0,0.0,0,True
242,Ballao,2022,3,0.0,8.0,0.0,0,True
243,Ballao,2022,4,0.0,8.0,0.0,0,True
244,Ballao,2022,5,0.0,8.0,0.0,0,True
245,Ballao,2022,6,0.0,8.0,0.0,0,True
246,Ballao,2022,7,0.0,8.0,0.0,0,True
247,Ballao,2022,8,0.0,8.0,0.0,0,True
248,Ballao,2022,9,0.0,8.0,0.0,0,True
249,Ballao,2022,10,0.0,8.0,0.0,0,True
250,Ballao,2022,11,0.0,8.0,0.0,0,True
251,Ballao,2022,12,0.0,8.0,0.0,0,True
252,Banari,2022,1,0.0,11.0,0.0,0,True
253,Banari,2022,2,0.0,11.0,0.0,0,True
254,Banari,2022,3,0.0,11.0,0.0,0,True
255,Banari,2022,4,0.0,11.0,0.0,0,True
256,Banari,2022,5,0.0,11.0,0.0,0,True
257,Banari,2022,6,0.0,11.0,0.0,0,True
258,Banari,2022,7,0.0,11.0,0.0,0,True
259,Banari,2022,8,0.0,11.0,0.0,0,True
260,Banari,2022,9,0.0,11.0,0.0,0,True
261,Banari,2022,10,0.0,11.0,0.0,0,True
262,Banari,2022,11,0.0,11.0,0.0,0,True
263,Banari,2022,12,0.0,11.0,0.0,0,True
264,Baradili,2022,1,0.0,24.0,0.0,0,True
265,Baradili,2022,2,0.0,24.0,0.0,0,True
266,Baradili,2022,3,0.0,24.0,0.0,0,True
