comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili
Aggius,2025,3,0.15,,0.0093,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,4,0.94,,0.0577,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,5,1.19,,0.0734,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,6,3.68,,0.2267,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,7,6.07,,0.3742,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,8,7.14,,0.4398,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,9,4.62,,0.2844,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,10,1.89,,0.1162,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,11,,,,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aggius,2025,12,,,,,2.73,0.0133,2.58,0.0871,0.034,2.0
Aglientu,2022,1,0.02,0.0,0.0023,0.0001,36.86,0.18,16.6,0.5604,0.0,4.0
Aglientu,2022,2,0.02,0.0,0.0021,0.0001,36.86,0.18,16.6,0.5604,0.0,4.0
Aglientu,2022,3,0.02,0.0,0.0028,0.0001,36.86,0.18,16.6,0.5604,0.0,4.0
Aglientu,2022,4,24.88,0.0145,3.1604,0.1041,36.86,0.18,16.6,0.5604,0.1111,4.0
Aglientu,2022,5,74.5,0.0436,9.4631,0.3116,36.86,0.18,16.6,0.5604,0.1924,4.0
Aglientu,2022,6,292.5,0.171,37.1534,1.0,36.86,0.18,16.6,0.5604,0.3624,4.0
Aglientu,2022,7,692.46,0.4048,87.9559,1.0,36.86,0.18,16.6,0.5604,0.4495,4.0
Aglientu,2022,8,772.29,0.4515,98.0952,1.0,36.86,0.18,16.6,0.5604,0.462,4.0
Aglientu,2022,9,313.06,0.183,39.7648,1.0,36.86,0.18,16.6,0.5604,0.3686,4.0
