,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,area_km2_reg,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe
267,117013,Samassi,117013.0,6,1,10,7,3,117013,42.12058962507112,85.51245353866892,0.03508260932594331,0.034481239306081275,0.011694203108647768,0.011626354361209129,0.11694203108647769,0.11059462177213102,0.08185942176053439,0.07868124754764384,0.07016521865188662,0.06781304650885896,0.9034291042059575,0.5619674916681616,2.65097739002472,3.9190941862977393,2.564877269664943,1.7860679370949268,0.0,1.0246312602343588,1.4950853645536308,"17,5794176060058",1
312,118030,Nuragus,118030.0,0,1,2,4,6,118030,19.475659705936106,62.86752361953391,0.095438783883253,0.0911549988784165,0.015906463980542164,0.015781281906953635,0.03181292796108433,0.03131737927219467,0.06362585592216866,0.06168368990900812,0.0,0.0,3.2830307836105264,0.7643886104428087,0.7211722932446286,3.046145656540745,0.0,1.7771626948238974,0.0,1.0214297931493728,1.4861537383444912,"17,505927125238",1
122,114031,Onanì,114031.0,0,3,3,2,13,114031,72.26457061594832,115.65643452954612,0.11240187416186483,0.10652152816757392,0.02593889403735342,0.02560818750649497,0.02593889403735342,0.02560818750649497,0.01729259602490228,0.017144780726499758,0.0,0.0,3.9518173395998906,1.2464992341409136,0.5880128896035759,0.8278987450637411,0.0,1.738957400095472,0.0,1.00757733707327,1.4478352511726793,"17,1879405179034",1
111,114020,Lodè,114020.0,1,8,5,5,13,114020,122.98404304222674,166.37590695582455,0.07813631335125769,0.07523391472572613,0.0480838851392355,0.04696362576736434,0.030052428212022187,0.0296097021228441,0.030052428212022187,0.0296097021228441,0.006010485642404437,0.005992494727008967,2.600863826579654,2.3106816317713794,0.6812632461163409,1.4387873033651082,0.21971224917484272,1.7319715255622599,0.0,1.00502351909283,1.4408286792933735,"17,1293169849437",1
236,116005,Elini,116005.0,2,1,3,3,4,116005,11.01539945401051,54.40726336760832,0.07351959559100749,0.07094259209744523,0.01837989889775187,0.018213030141825917,0.055139696693255615,0.053673172089336044,0.055139696693255615,0.053673172089336044,0.03675979779550374,0.03610027058969432,2.418845177846427,0.8832500671247865,1.2499705013550422,2.639863073757291,1.3437479653693332,1.7268144280066602,0.0,1.0031340516787426,1.4356563025866182,"17,0859437860414",1
16,112017,Cheremule,112017.0,0,4,1,2,5,112017,24.676692006897202,68.06855592049502,0.0734553558891431,0.07088275003749078,0.05876428471131448,0.05710245894629984,0.01469107117782862,0.014584202794221573,0.02938214235565724,0.028958760461853836,0.0,0.0,2.4163124642746654,2.8239305724449406,0.33303421503657205,1.406696759035073,0.0,1.7084877392562101,0.0,0.99639044934028,1.4172753165798957,"16,9311427011622",1
23,112024,Giave,112024.0,2,5,4,3,5,112024,46.992630616912365,90.38449453051018,0.05531922290401481,0.053843302111318554,0.05531922290401481,0.053843302111318554,0.044255378323211844,0.04330407479913287,0.03319153374240889,0.03265258799615075,0.022127689161605922,0.021886424448340824,1.7012775432271514,2.6583773727524953,1.0032321675263833,1.5890748325184691,0.8088737988887934,1.6948726444281959,0.0,0.9913509470024923,1.4036198837342984,"16,8154596596681",1
208,115064,Siamanna,115064.0,0,4,2,2,5,115064,28.344819630424507,71.73668354402231,0.06969934701444169,0.06737762489173392,0.05575947761155335,0.05426039192783128,0.027879738805776676,0.027498174592131216,0.027879738805776676,0.027498174592131216,0.0,0.0,2.268228111817714,2.6795339091485135,0.6320102064864427,1.3347678241467407,0.0,1.6769691257517423,0.0,0.984685231319576,1.385663321545457,"16,662446482523",1
277,117023,Turri,117023.0,0,2,2,2,4,117023,9.422499113764628,52.81436302736244,0.07573697325342449,0.07300598320791801,0.037868486626712244,0.037169077898527345,0.037868486626712244,0.037169077898527345,0.037868486626712244,0.037169077898527345,0.0,0.0,2.506267478018078,1.8197784188600061,0.8584467099569285,1.8129882008791849,0.0,1.6504624202436884,0.0,0.9747341229802553,1.3590780834993372,"16,4340162920459",1
295,118013,Donori,118013.0,3,0,5,5,6,118013,35.4006014399907,78.79246535358851,0.07614941318404549,0.07338931193593146,0.0,0.0,0.0634578443200379,0.06152571624538498,0.0634578443200379,0.06152571624538498,0.03807470659202274,0.03736775382247606,2.5225283288549267,0.0,1.4385359049196589,3.0381019484497274,1.3918142259564565,1.6393623945035147,0.0,0.9705373707547238,1.347945171243195,"16,3376787909783",1
