codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo
90075,Tula,090075,0,26,8,5,7
90076,Uri,090076,4,22,9,5,11
90077,Usini,090077,12,12,13,6,17
90078,Villanova Monteleone,090078,2,56,6,5,36
90079,Valledoria,090079,7,7,36,6,21
90080,Telti,090080,2,20,8,5,7
90081,Badesi,090081,1,4,16,4,16
90082,Viddalba,090082,0,8,4,3,7
90083,Golfo Aranci,090083,16,42,35,3,64
90084,Loiri Porto San Paolo,090084,5,165,44,8,24
90085,Sant'Antonio di Gallura,090085,6,5,11,5,9
90086,Tergu,090086,1,22,4,1,2
90087,Santa Maria Coghinas,090087,0,19,8,4,2
90088,Erula,090088,0,10,3,3,7
90089,Stintino,090089,3,124,45,5,67
90090,Padru,090090,1,106,14,5,8
90091,Budoni,090091,8,59,81,13,83
90092,San Teodoro,090092,6,370,71,7,56
91001,Aritzo,091001,0,22,8,6,24
91002,Arzana,091002,6,31,8,5,19
91003,Atzara,091003,0,12,4,4,7
91004,Austis,091004,0,7,7,5,19
91005,Bari Sardo,091005,2,31,34,5,45
91006,Baunei,091006,19,312,27,8,70
91007,Belvì,091007,2,5,6,2,7
91008,Birori,091008,3,5,2,2,22
91009,Bitti,091009,0,53,12,8,31
91010,Bolotana,091010,5,17,11,5,23
91011,Borore,091011,6,14,8,6,14
91012,Bortigali,091012,5,3,6,5,22
91016,Desulo,091016,0,38,22,8,24
91017,Dorgali,091017,27,317,78,23,138
91018,Dualchi,091018,0,7,3,3,20
91019,Elini,091019,2,1,3,2,2
91024,Fonni,091024,0,34,16,5,28
91025,Gadoni,091025,0,15,3,4,11
91026,Gairo,091026,2,43,7,5,31
91027,Galtellì,091027,3,182,9,5,23
91028,Gavoi,091028,0,20,9,7,24
91031,Girasole,091031,2,2,4,5,7
91032,Ilbono,091032,7,13,5,5,13
91033,Irgoli,091033,0,12,7,5,11
91035,Jerzu,091035,1,37,17,9,15
91037,Lanusei,091037,22,19,13,13,39
91038,Lei,091038,2,4,2,3,15
91039,Loceri,091039,0,12,7,4,9
91040,Loculi,091040,1,7,4,2,6
91041,Lodè,091041,1,9,5,5,13
91042,Lotzorai,091042,7,33,21,7,40
91043,Lula,091043,1,28,10,5,14
91044,Macomer,091044,13,18,12,18,65
91046,Mamoiada,091046,3,21,23,5,27
91047,Meana Sardo,091047,5,17,8,5,8
91050,Noragugume,091050,0,3,1,1,7
91051,Nuoro,091051,17,102,70,58,104
91055,Oliena,091055,1,159,23,7,45
91056,Ollolai,091056,2,60,4,5,7
91057,Olzai,091057,0,19,3,4,3
91058,Onanì,091058,0,11,3,2,12
91059,Onifai,091059,1,11,2,2,5
91060,Oniferi,091060,3,9,3,4,13
91061,Orani,091061,0,25,12,5,11
91062,Orgosolo,091062,1,256,24,6,78
91063,Orosei,091063,3,108,88,10,81
91064,Orotelli,091064,2,6,4,5,12
91066,Ortueri,091066,0,4,0,4,1
91067,Orune,091067,0,163,1,5,7
91068,Osidda,091068,0,58,2,2,7
91069,Osini,091069,0,29,3,2,31
91070,Ottana,091070,0,5,10,6,8
91071,Ovodda,091071,1,16,6,5,10
91072,Perdasdefogu,091072,3,11,6,6,9
91073,Posada,091073,2,209,26,6,37
91077,Sarule,091077,0,22,8,4,10
91083,Silanus,091083,8,6,10,5,27
91084,Sindia,091084,3,9,4,5,16
91085,Siniscola,091085,3,94,54,17,59
91086,Sorgono,091086,2,8,4,9,41
91088,Talana,091088,0,15,4,4,20
91089,Tertenia,091089,6,76,30,6,70
91090,Teti,091090,0,6,8,4,23
91091,Tiana,091091,0,5,2,3,1
91093,Tonara,091093,2,34,15,6,16
91094,Torpè,091094,0,81,13,6,17
91095,Tortolì,091095,95,101,89,28,84
