,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,turismo_log_density_norm,natura_log_density_norm,ristorazione_log_density_norm,servizi_log_density_norm,infrastrutture_log_density_norm,indice,indice_log,classe
40,90041,Monti,90041,5,20,14,5,9,90041,124.18554006935685,0.0724722056607682,0.06996645601640833,0.16104934591281822,0.14932420475208064,0.11273454213897276,0.10682053723250078,0.040262336478204555,0.03947292795811157,0.040262336478204555,0.03947292795811157,0.5680244316777822,1.19528318195147,1.6914222693252219,1.1498756962422003,0.489761870621678,2.0284154467592894,5.587778146061733,5.244851656176788,2.623832243057442,1.7768899214206646,1.0289701203547443,3.625703330379261,1
41,90042,Mores,90042,3,30,9,4,12,90042,94.10302798780252,0.1275198073494024,0.12002035973431648,0.318799518373506,0.27672186701481566,0.0956398555120518,0.0913385355399931,0.042506602449800805,0.041628007955944984,0.0318799518373506,0.03138233455400622,1.2355409284889107,2.3660804119773298,1.434940687910129,1.2139710052175974,0.3877962933333991,4.301815057338942,10.355055321473213,4.484690695357591,2.7670840532774506,1.4126885656630397,1.4700457992390112,5.332577951199426,1
42,90043,Muros,90043,0,6,4,2,2,90043,11.082817277634566,0.1804595302708866,0.16590379510139933,0.5413785908126598,0.43267720482236155,0.3609190605417732,0.3081602513217313,0.1804595302708866,0.16590379510139933,0.0,0.0,1.8774969320689412,4.018027648601924,5.415079751437183,5.153849631307577,0.0,6.385796052776517,16.19097341532489,15.13056240294664,11.027905690061516,0.0,3.4238493867547364,10.643780503762734,3
43,90044,Nughedu San Nicolò,90044,0,52,4,2,8,90044,67.54464102840946,0.11844018826949096,0.11193502556916424,0.7698612237516913,0.5709011388518703,0.05922009413474548,0.05753287706932309,0.02961004706737274,0.029180135476112756,0.0,0.0,1.1254399370799906,5.713790192511012,0.8885137076049439,0.8456507114481765,0.0,3.9345870455927354,21.36337449467506,2.824844485895781,1.9396529287175754,0.0,2.0706298774899654,7.377136573833378,2
44,90045,Nule,90045,0,73,5,5,10,90045,51.47077168310564,0.1942850218288513,0.17754769823275068,1.4182806593506145,0.8830568163215041,0.09714251091442565,0.09270908253142864,0.09714251091442565,0.09270908253142864,0.0,0.0,2.0451471731033277,10.52625833281266,1.4574859057508491,2.7743499792395045,0.0,6.91465080491787,33.04437876072732,4.551984081481019,6.1625294234158305,0.0,3.9527584131702587,12.17026616146577,4
45,90046,Nulvi,90046,3,6,17,5,19,90046,67.48242851788729,0.2815547753288658,0.24807400904459082,0.08891203431437866,0.08517906411740193,0.25191743055740623,0.22467632046908717,0.07409336192864889,0.07147692147861565,0.04445601715718933,0.04349619213523659,3.1033949140930726,0.6598912816857965,3.7796645463882457,2.116075806498495,0.5407749283273932,10.117887228571533,3.187438458268955,11.031530097542568,4.7511917891952855,1.957998796220442,2.223413067734534,6.947010450648549,2
46,90047,Olbia,90047,81,257,180,72,128,90047,384.0832651041021,0.333261070266383,0.28762787368284143,0.6691257426442222,0.5122999819521533,0.46864838006210113,0.3843425084739042,0.18745935202484046,0.17181602646698513,0.2108917710279455,0.19135708900643056,3.7303941620348926,4.966147128758808,7.0314057384741435,5.35376164876479,2.565344123366462,11.914385279398832,19.17049314364539,18.871085039770545,11.420901702465295,8.614017262888408,4.826534838146363,14.715692859343742,4
47,90048,Olmedo,90048,2,12,12,5,8,90048,34.016107498967514,0.23518269985014667,0.21121889423995585,0.35277404977522,0.30215733581565785,0.35277404977522,0.30215733581565785,0.14698918740634168,0.13714041125567036,0.05879567496253667,0.05713210651408748,2.5410793104360474,2.618234096731405,5.292875391237993,4.197950466695807,0.7152063758074337,8.443963769635628,11.306861875113677,14.835821315234346,9.115954946657077,2.5718250331504082,3.1766706031463787,9.95164460802958,3
48,90049,Oschiri,90049,3,82,12,5,21,90049,216.01569924046828,0.09721515646241452,0.09277529375040651,0.3796020395199043,0.3217950804209349,0.05555151797852258,0.05406339618998161,0.02314646582438441,0.022882649570095986,0.013887879494630644,0.01379232656490062,0.8680616237303328,2.817347261492389,0.8334719139397722,0.661053501447147,0.1689358948142709,3.0643706664456594,12.041715011117269,2.654494167431446,1.5210483958098242,0.6208671951602263,1.2475012999786508,4.750882765086801,1
49,90050,Osilo,90050,3,12,10,4,8,90050,97.75994061483877,0.08183311026669852,0.0786569266300941,0.12274966540004778,0.11578073496744974,0.10229138783337315,0.09739109305030055,0.04091655513334926,0.040101628046634065,0.030687416350011945,0.03022597414743975,0.6815363387882406,0.9110289135993914,1.5347375175238103,1.168559910755841,0.3732899714914492,2.423128167274604,4.3325665899926165,4.7818691884122275,2.665623000642715,1.3606345312083794,0.9517786173036032,3.302360838580226,1
