codice_istat,nome_comune,area_km2,turismo,natura,ristorazione,servizi,infrastrutture,indice,classe
92011,Capoterra,68.25,24,90,14,23,15,5.96,5
92015,Decimomannu,28.01,4,12,11,10,13,4.49,4
92037,Maracalagonis,100.74,29,96,15,10,6,3.67,3
92050,Pula,137.81,64,73,47,11,24,4.16,4
92051,Quartu Sant'Elena,95.81,88,97,66,70,48,10.93,5
92066,Sarroch,67.79,23,48,4,5,5,3.04,3
92068,Selargius,26.63,26,52,16,34,9,14.77,5
92074,Sestu,48.39,5,42,16,14,29,4.85,4
92075,Settimo San Pietro,23.28,11,18,2,8,6,5.1,4
92080,Sinnai,223.75,155,475,36,16,8,7.2,5
92090,Uta,134.49,17,53,16,9,2,1.76,2
92099,Villa San Pietro,40.19,3,10,7,4,5,1.74,2
92105,Quartucciu,28.61,39,41,8,8,2,9.65,5
92108,Elmas,13.82,9,44,21,14,31,19.81,5
92109,Monserrato,6.57,24,60,12,23,54,60.63,5
95001,Abbasanta,40.32,13,50,20,8,11,6.05,5
95002,Aidomaggiore,41.4,20,4,1,2,0,2.12,2
95003,Albagiara,9.19,1,7,1,1,4,3.04,3
95004,Ales,22.43,14,7,4,6,0,4.44,4
95005,Allai,27.11,15,6,4,2,1,3.13,3
95006,Arborea,94.68,24,32,22,7,0,2.47,2
95007,Ardauli,20.48,10,8,3,4,0,3.68,3
95008,Assolo,16.17,1,1,1,1,2,0.85,1
95009,Asuni,21.37,8,8,2,1,0,2.44,2
95010,Baradili,5.72,5,0,2,0,0,4.14,4
95011,Baratili San Pietro,6.14,2,4,2,4,6,7.26,5
95012,Baressa,12.42,3,4,2,4,3,3.54,3
95013,Bauladu,23.87,32,4,2,4,1,6.12,5
95014,Bidonì,11.86,6,2,0,0,0,2.06,2
95015,Bonarcado,28.62,34,60,4,5,0,9.29,5
95016,Boroneddu,5.01,3,1,1,2,0,4.77,4
95017,Busachi,59.13,6,10,2,4,0,0.98,1
95018,Cabras,101.62,136,54,95,12,1,9.08,5
95019,Cuglieri,120.04,76,125,31,6,6,5.19,4
95020,Fordongianus,38.78,14,12,8,4,0,2.85,3
95021,Ghilarza,54.83,23,25,26,14,0,4.8,4
95022,Gonnoscodina,8.7,3,2,4,2,0,3.95,4
95023,Gonnosnò,15.4,4,3,4,3,1,2.91,3
95024,Gonnostramatza,17.71,6,9,1,3,0,2.98,3
95025,Marrubiu,61.68,17,47,13,9,7,3.72,3
95026,Masullas,18.62,7,21,7,5,2,5.78,5
95027,Milis,18.81,15,4,2,5,0,4.66,4
95028,Mogorella,17.08,7,1,2,2,0,2.36,2
95029,Mogoro,49.23,42,19,17,7,8,5.57,4
95030,Morgongiori,45.03,15,21,2,3,0,2.4,2
95031,Narbolia,40.98,35,11,10,5,3,4.86,4
95032,Neoneli,48.07,7,10,2,3,0,1.21,1
95033,Norbello,25.94,16,8,5,4,0,3.96,4
95034,Nughedu Santa Vittoria,28.39,9,12,1,2,1,2.29,2
95035,Nurachi,16.13,6,11,6,5,1,5.05,4
95036,Nureci,12.89,6,1,0,2,0,2.41,2
95037,Ollastra,20.99,11,4,5,5,0,3.9,4
95038,Oristano,83.95,63,149,229,59,74,18.2,5
95039,Palmas Arborea,39.32,7,47,2,4,0,3.36,3
95040,Pau,13.84,13,43,3,2,0,10.36,5
95041,Paulilatino,104.0,57,22,4,6,4,2.7,3
95042,Pompu,5.29,2,3,1,0,0,2.9,3
95043,Riola Sardo,47.94,11,23,15,5,4,3.12,3
95044,Ruinas,30.96,3,4,1,4,0,1.15,1
95045,Samugheo,81.3,28,32,7,5,0,2.41,2
95046,San Nicolò d'Arcidano,28.13,20,19,8,5,3,5.49,4
95047,Santa Giusta,69.05,12,35,17,6,1,2.61,3
95048,Villa Sant'Antonio,19.44,19,6,0,3,0,4.7,4
95049,Santu Lussurgiu,99.42,24,208,12,4,1,5.21,4
95050,San Vero Milis,72.31,32,11,28,5,0,3.26,3
95051,Scano di Montiferro,60.84,38,10,4,5,2,3.07,3
95052,Sedilo,68.23,80,244,20,6,5,12.15,5
95053,Seneghe,57.39,36,60,5,5,0,4.76,4
95054,Senis,16.29,5,3,0,2,0,1.89,2
95055,Sennariolo,15.87,14,1,2,0,0,3.61,3
95056,Siamaggiore,13.23,6,8,5,2,6,5.01,4
95057,Siamanna,28.4,5,6,2,2,0,1.45,1
95058,Simala,13.42,2,3,2,2,1,2.04,2
95059,Simaxis,27.51,7,16,16,5,3,4.57,4
95060,Sini,8.66,5,3,1,2,0,3.99,4
95061,Siris,6.09,5,3,1,0,0,4.3,4
95062,Solarussa,31.84,18,24,9,5,9,5.23,4
95063,Sorradile,26.7,10,3,3,3,0,2.3,2
95064,Tadasuni,5.17,5,1,2,0,0,4.94,4
95065,Terralba,49.79,19,142,43,16,5,10.68,5
95066,Tramatza,17.03,9,5,7,3,1,4.43,4
95067,Tresnuraghes,31.22,30,3,13,4,4,5.54,4
95068,Ulà Tirso,18.83,2,1,4,2,0,1.48,1
95069,Uras,39.21,6,20,8,6,3,2.77,3
95070,Usellus,34.88,8,90,4,3,0,6.24,5
95071,Villanova Truschedu,16.98,15,34,3,1,1,7.69,5
95072,Villaurbana,58.61,13,13,5,6,0,1.82,2
95073,Villa Verde,17.75,6,6,1,2,0,2.42,2
95074,Zeddiani,11.9,4,5,4,3,3,4.31,4
95075,Zerfaliu,15.89,24,40,2,2,12,11.91,5
95076,Siapiccia,18.1,2,4,0,1,0,0.96,1
95077,Curcuris,7.19,2,2,2,1,0,2.87,3
95078,Soddì,5.26,5,1,1,0,0,4.29,4
95079,Bosa,127.24,75,53,77,13,14,5.21,4
95080,Flussio,6.87,13,1,5,2,1,10.67,5
95082,Laconi,124.51,25,26,11,7,3,1.56,1
95083,Magomadas,8.87,10,3,6,2,3,8.04,5
95084,Modolo,3.01,7,4,1,1,0,13.25,5
95085,Montresta,31.61,9,3,3,4,0,1.95,2
95086,Sagama,11.84,14,4,1,2,0,5.81,5
95087,Suni,47.58,23,3,7,4,4,2.69,3
95088,Tinnura,3.75,31,1,3,1,4,35.34,5
111001,Arbus,269.17,96,66,54,10,1,2.42,2
111002,Armungia,54.82,12,11,3,2,0,1.4,1
111003,Ballao,46.27,5,14,2,4,0,1.36,1
111004,Barrali,11.15,4,2,1,4,1,3.46,3
111005,Barumini,26.25,124,82,7,4,0,24.34,5
111006,Buggerru,48.09,29,80,21,7,6,7.27,5
111007,Burcei,94.95,57,202,9,5,3,6.59,5
111008,Calasetta,31.55,18,19,21,5,1,5.81,5
111009,Carbonia,145.77,50,60,18,41,10,3.58,3
111010,Carloforte,50.6,51,68,18,8,37,8.7,5
111011,Castiadas,103.57,74,35,18,5,2,3.88,4
111012,Collinas,20.68,13,7,1,2,0,3.38,3
111013,Decimoputzu,44.82,6,6,5,5,1,1.48,1
111014,Dolianova,84.68,25,72,4,9,3,3.2,3
111015,Domus de Maria,97.45,35,15,21,6,3,2.45,2
111016,Domusnovas,80.09,14,78,8,7,0,3.02,3
111017,Donori,35.36,6,0,5,5,3,1.66,1
111018,Escalaplano,93.79,9,9,5,5,0,0.82,1
111019,Escolca,14.94,5,0,2,2,0,2.1,2
111020,Esterzili,100.51,24,13,1,4,6,1.29,1
111021,Fluminimaggiore,108.29,30,87,16,5,4,3.09,3
111022,Furtei,25.56,8,3,3,4,0,2.29,2
111023,Genoni,43.66,9,8,3,4,0,1.6,1
111024,Genuri,7.57,5,8,1,1,0,5.23,4
111025,Gergei,36.65,10,3,6,5,0,2.13,2
111026,Gesico,25.59,4,2,2,2,1,1.24,1
111027,Gesturi,46.9,20,7,4,4,0,2.36,2
111028,Giba,29.72,6,8,2,5,6,2.31,2
111029,Goni,18.75,21,22,1,2,0,6.77,5
111030,Gonnesa,47.88,34,44,3,6,2,4.97,4
111031,Gonnosfanadiga,124.59,20,45,17,6,9,1.86,2
111032,Guamaggiore,16.66,3,1,2,3,0,1.8,2
111033,Guasila,43.28,6,6,6,6,0,1.68,1
111034,Guspini,174.93,33,46,30,13,1,1.92,2
111035,Iglesias,208.56,139,195,46,43,17,5.71,4
111036,Isili,67.98,26,34,11,9,12,3.49,3
111037,Las Plassas,11.0,11,25,1,1,0,8.42,5
111038,Lunamatrona,20.84,15,3,6,5,0,4.68,4
111039,Mandas,44.81,19,6,10,5,4,2.95,3
111040,Masainas,24.36,13,39,6,3,4,6.29,5
111041,Monastir,31.93,11,28,5,5,0,3.93,4
111042,Muravera,93.39,119,183,52,14,4,10.54,5
111043,Musei,20.55,1,7,2,5,3,2.23,2
111044,Narcao,84.84,9,9,4,6,0,0.93,1
111045,Nuragus,19.67,6,4,2,4,0,2.57,3
111046,Nurallao,34.86,6,8,1,6,4,1.92,2
111047,Nuraminis,45.21,10,10,6,5,1,2.02,2
111048,Nurri,73.87,3,2,5,5,3,0.65,1
111049,Nuxis,61.98,9,23,1,4,1,1.47,1
111050,Orroli,75.8,23,16,6,5,2,1.95,2
111051,Ortacesus,23.81,4,1,3,3,0,1.51,1
111052,Pabillonis,37.21,12,10,5,4,0,2.44,2
