comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili,Unnamed: 0,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe_attrattivita,indice_attrattivita,gem_score,gem_score_normalized,quadrante,etichetta,icona,gem_rank,gem_tier,descrizione_breve
Posada,2023,6,95.99,0.0561,1.0485,0.0345,48.18,0.2352,4.5,0.1519,0.0912,4.0,134,114043,Posada,114043,2,64,28,6,34,114043,33.085578393725804,1.0276380722559049,0.706871604445051,1.9343775477758207,1.0764953516657247,0.8462901771519216,0.6131783161172213,0.1813478951039832,0.1666560705540438,0.0604492983679944,0.0586926847028963,12.406195389433565,27.392557573060927,12.696680833531262,5.136104544948925,0.7292000279865757,13.95266986134255,0.0,2.7048898699350863,19.48495295856671,58.32076739682147,5,0.5832076739682147,0.5300191341023136,53.9679395277786,Q2,Destinazione Popolare,🏖️,851,Da Scoprire,territorio in fase di sviluppo
Alghero,2022,1,26.21,0.0153,0.1392,0.0046,91.86,0.4485,17.09,0.577,0.0653,4.0,0,112001,Alghero,112001,239,133,267,69,301,112001,225.42827970457023,1.3352362019284738,0.8481130431476374,0.5899880892242093,0.4637265251501257,1.1844121791192774,0.7813467667789807,0.3060840462892514,0.2670333827570043,1.0602041603352332,0.7228050848495706,16.21523834533585,8.354771652554009,17.76944104944416,8.668860812424459,12.789245272650898,13.086406275756849,0.0,2.64521023842871,18.20743811098024,56.70256393998488,5,0.5670256393998487,0.5299988651470386,53.96587568954675,Q2,Destinazione Popolare,🏖️,852,Da Scoprire,territorio in fase di sviluppo
Santa Teresa Gallura,2023,3,1.63,0.001,0.0336,0.0011,105.04,0.5128,11.86,0.4004,0.0218,4.0,87,113022,Santa Teresa Gallura,113022,10,124,66,8,147,113022,103.2860855149236,1.4232313991487289,0.8851019383676104,1.2005489353363428,0.7887068453022889,0.6390018526790212,0.4940874301326347,0.0774547700216995,0.0746015653367112,0.0968184625271244,0.0924136822088337,17.304898696918077,17.000872383103683,9.586785708425229,2.19366095265854,1.1679213405357969,11.804886123488748,0.0,2.549826826483381,16.31752717711956,54.11625831042837,5,0.5411625831042837,0.5293652387926102,53.90135819087774,Q2,Destinazione Popolare,🏖️,853,Da Scoprire,territorio in fase di sviluppo
Muravera,2025,3,5.5,0.0032,0.1021,0.0034,137.88,0.6732,17.0,0.5739,0.0453,4.0,311,118029,Muravera,118029,4,142,52,14,122,118029,93.8172606649278,1.3004003648723876,0.8330831794700332,1.5135807525563856,0.921708331168286,0.5542690079783947,0.441005343771405,0.1492262713787986,0.1390889084419269,0.0426360775367996,0.0417521961838373,15.783859910451705,21.43368958844154,8.315559934658626,4.226361327298332,0.5143191033220192,12.442078466604572,0.0,2.598389970951104,17.25722116015649,55.433040037609885,5,0.5543304003760988,0.5292192332390615,53.88649152215268,Q2,Destinazione Popolare,🏖️,854,Da Scoprire,territorio in fase di sviluppo
Castelsardo,2025,3,19.39,0.0113,0.1516,0.005,162.4,0.7929,10.54,0.3558,0.0632,4.0,15,112016,Castelsardo,112016,10,29,64,10,60,112016,43.786735349872565,1.370277996762657,0.8630072464802341,0.6623010317686175,0.5082028062464554,1.461629863213501,0.9008236765793016,0.2283796661271095,0.2056959563110143,0.2283796661271095,0.2056959563110143,16.6491671924241,9.378789142936249,21.92846894718048,6.468130443404309,2.7549444481166505,12.9708552442197,0.0,2.6369733914536746,18.037030211007355,56.479223180130965,5,0.5647922318013097,0.5290973627514669,53.87408234919733,Q2,Destinazione Popolare,🏖️,855,Da Scoprire,territorio in fase di sviluppo
Santa Teresa Gallura,2023,1,1.77,0.001,0.0363,0.0012,105.04,0.5128,11.86,0.4004,0.0223,4.0,87,113022,Santa Teresa Gallura,113022,10,124,66,8,147,113022,103.2860855149236,1.4232313991487289,0.8851019383676104,1.2005489353363428,0.7887068453022889,0.6390018526790212,0.4940874301326347,0.0774547700216995,0.0746015653367112,0.0968184625271244,0.0924136822088337,17.304898696918077,17.000872383103683,9.586785708425229,2.19366095265854,1.1679213405357969,11.804886123488748,0.0,2.549826826483381,16.31752717711956,54.11625831042837,5,0.5411625831042837,0.5290946575010581,53.873806893499456,Q2,Destinazione Popolare,🏖️,856,Da Scoprire,territorio in fase di sviluppo
Posada,2025,10,72.75,0.0425,0.7887,0.026,80.12,0.3912,5.19,0.1752,0.0933,4.0,134,114043,Posada,114043,2,64,28,6,34,114043,33.085578393725804,1.0276380722559049,0.706871604445051,1.9343775477758207,1.0764953516657247,0.8462901771519216,0.6131783161172213,0.1813478951039832,0.1666560705540438,0.0604492983679944,0.0586926847028963,12.406195389433565,27.392557573060927,12.696680833531262,5.136104544948925,0.7292000279865757,13.95266986134255,0.0,2.7048898699350863,19.48495295856671,58.32076739682147,5,0.5832076739682147,0.5287943979869804,53.843233681598655,Q2,Destinazione Popolare,🏖️,857,Da Scoprire,territorio in fase di sviluppo
Tortolì,2025,4,262.54,0.1535,0.9666,0.0318,235.35,1.0,25.65,0.866,0.255,4.0,248,116017,Tortolì,116017,101,23,90,28,90,116017,40.41563207264875,2.226861127353429,1.171509877546174,0.5690867325458764,0.4504937510923399,2.226861127353429,1.171509877546174,0.6928012396210669,0.5263846949719028,2.4990330429188483,1.2524866568730697,27.256390140088456,8.058789300595553,33.40904308939952,19.621400036232647,30.14584145778336,22.83121713626856,0.0,3.17099636560442,32.57851496146155,70.95916886660135,5,0.7095916886660134,0.52864580805618,53.82810386479788,Q2,Destinazione Popolare,🏖️,858,Da Scoprire,territorio in fase di sviluppo
Posada,2023,9,102.55,0.06,1.1202,0.0369,48.18,0.2352,4.5,0.1519,0.0943,4.0,134,114043,Posada,114043,2,64,28,6,34,114043,33.085578393725804,1.0276380722559049,0.706871604445051,1.9343775477758207,1.0764953516657247,0.8462901771519216,0.6131783161172213,0.1813478951039832,0.1666560705540438,0.0604492983679944,0.0586926847028963,12.406195389433565,27.392557573060927,12.696680833531262,5.136104544948925,0.7292000279865757,13.95266986134255,0.0,2.7048898699350863,19.48495295856671,58.32076739682147,5,0.5832076739682147,0.528211190313012,53.78384994532247,Q2,Destinazione Popolare,🏖️,859,Da Scoprire,territorio in fase di sviluppo
Santa Teresa Gallura,2023,2,2.09,0.0012,0.0429,0.0014,105.04,0.5128,11.86,0.4004,0.0242,4.0,87,113022,Santa Teresa Gallura,113022,10,124,66,8,147,113022,103.2860855149236,1.4232313991487289,0.8851019383676104,1.2005489353363428,0.7887068453022889,0.6390018526790212,0.4940874301326347,0.0774547700216995,0.0746015653367112,0.0968184625271244,0.0924136822088337,17.304898696918077,17.000872383103683,9.586785708425229,2.19366095265854,1.1679213405357969,11.804886123488748,0.0,2.549826826483381,16.31752717711956,54.11625831042837,5,0.5411625831042837,0.52806644859316,53.76911196346197,Q2,Destinazione Popolare,🏖️,860,Da Scoprire,territorio in fase di sviluppo
Quartu Sant'Elena,2022,4,106.4,0.0622,0.1486,0.0049,52.78,0.2577,11.93,0.4028,0.075,4.0,320,118038,Quartu Sant'Elena,118038,49,107,71,70,91,118038,96.15510574575784,0.9463876025534372,0.6659751430430506,1.112785422782613,0.7480071824988568,0.7383903272669675,0.5529595857861627,0.7279904635026441,0.546959151560295,0.5095933244518508,0.4118402929982043,11.400056211625891,15.758060671808575,11.077886248693176,20.618023308908416,6.147225468026398,13.282535324317449,0.0,2.6590374848721265,18.496677755527653,57.077487467970776,5,0.5707748746797078,0.5279667590787297,53.75896131541897,Q2,Destinazione Popolare,🏖️,861,Da Scoprire,territorio in fase di sviluppo
San Teodoro,2023,4,76.66,0.0448,1.5994,0.0527,144.34,0.7047,12.36,0.4173,0.1623,4.0,86,113021,San Teodoro,113021,8,363,78,7,57,113021,104.97102321910631,0.5430069961404848,0.4337331074864186,3.458097185947297,1.4947220350731365,0.7430622052448738,0.5556434545097088,0.066685069701463,0.064555773833864,0.0762115082302434,0.0734470114096558,6.404921621437026,48.96982306697004,11.147977270874602,1.8886433138776324,0.9193396025224454,16.768758164682424,0.0,2.877441755913792,23.63795520810588,62.9994835907139,5,0.629994835907139,0.5277466740394103,53.73655167899505,Q2,Destinazione Popolare,🏖️,862,Da Scoprire,territorio in fase di sviluppo
