comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Muravera,2023,3,661689.0,9941.0,18.24,0,True
Muravera,2023,4,661689.0,9941.0,18.24,0,True
Muravera,2023,5,661689.0,9941.0,18.24,0,True
Muravera,2023,6,661689.0,9941.0,18.24,0,True
Muravera,2023,7,661689.0,9941.0,18.24,0,True
Muravera,2023,8,661689.0,9941.0,18.24,0,True
Muravera,2023,9,661689.0,9941.0,18.24,0,True
Muravera,2023,10,661689.0,9941.0,18.24,0,True
Muravera,2023,11,661689.0,9941.0,18.24,0,True
Muravera,2023,12,661689.0,9941.0,18.24,0,True
Muros,2023,1,0.0,2.0,0.0,0,True
Muros,2023,2,0.0,2.0,0.0,0,True
Muros,2023,3,0.0,2.0,0.0,0,True
Muros,2023,4,0.0,2.0,0.0,0,True
Muros,2023,5,0.0,2.0,0.0,0,True
Muros,2023,6,0.0,2.0,0.0,0,True
Muros,2023,7,0.0,2.0,0.0,0,True
Muros,2023,8,0.0,2.0,0.0,0,True
Muros,2023,9,0.0,2.0,0.0,0,True
Muros,2023,10,0.0,2.0,0.0,0,True
Muros,2023,11,0.0,2.0,0.0,0,True
Muros,2023,12,0.0,2.0,0.0,0,True
Musei,2023,1,16.0,6.0,0.73,0,True
Musei,2023,2,16.0,6.0,0.73,0,True
Musei,2023,3,16.0,6.0,0.73,0,True
Musei,2023,4,16.0,6.0,0.73,0,True
Musei,2023,5,16.0,6.0,0.73,0,True
Musei,2023,6,16.0,6.0,0.73,0,True
Musei,2023,7,16.0,6.0,0.73,0,True
Musei,2023,8,16.0,6.0,0.73,0,True
Musei,2023,9,16.0,6.0,0.73,0,True
Musei,2023,10,16.0,6.0,0.73,0,True
Musei,2023,11,16.0,6.0,0.73,0,True
Musei,2023,12,16.0,6.0,0.73,0,True
Narbolia,2023,1,98593.01,2076.0,13.01,0,True
Narbolia,2023,2,98593.01,2076.0,13.01,0,True
Narbolia,2023,3,98593.01,2076.0,13.01,0,True
Narbolia,2023,4,98593.01,2076.0,13.01,0,True
Narbolia,2023,5,98593.01,2076.0,13.01,0,True
Narbolia,2023,6,98593.01,2076.0,13.01,0,True
Narbolia,2023,7,98593.01,2076.0,13.01,0,True
Narbolia,2023,8,98593.01,2076.0,13.01,0,True
Narbolia,2023,9,98593.01,2076.0,13.01,0,True
Narbolia,2023,10,98593.01,2076.0,13.01,0,True
Narbolia,2023,11,98593.01,2076.0,13.01,0,True
Narbolia,2023,12,98593.01,2076.0,13.01,0,True
Narcao,2023,1,760.99,60.0,3.47,0,True
Narcao,2023,2,760.99,60.0,3.47,0,True
Narcao,2023,3,760.99,60.0,3.47,0,True
Narcao,2023,4,760.99,60.0,3.47,0,True
Narcao,2023,5,760.99,60.0,3.47,0,True
Narcao,2023,6,760.99,60.0,3.47,0,True
Narcao,2023,7,760.99,60.0,3.47,0,True
Narcao,2023,8,760.99,60.0,3.47,0,True
Narcao,2023,9,760.99,60.0,3.47,0,True
Narcao,2023,10,760.99,60.0,3.47,0,True
Narcao,2023,11,760.99,60.0,3.47,0,True
Narcao,2023,12,760.99,60.0,3.47,0,True
Neoneli,2023,1,0.0,25.0,0.0,0,True
Neoneli,2023,2,0.0,25.0,0.0,0,True
Neoneli,2023,3,0.0,25.0,0.0,0,True
