comune,rank,mercato,presenze,quota_pct
Tertenia,1,Germania,69474,33.21
Tertenia,2,Italia,52963,25.32
Tertenia,3,Francia,17656,8.44
Tertenia,4,Svizzera (incluso Liechtenstein),14226,6.8
Tertenia,5,Polonia,7257,3.47
Teti,1,Italia,424,79.1
Teti,2,Egitto,66,12.31
Teti,3,Paesi Bassi,27,5.04
Teti,4,Francia,11,2.05
Teti,5,Altri Paesi dell'Asia,2,0.37
Teulada,1,Italia,108173,56.76
Teulada,2,Germania,20138,10.57
Teulada,3,Francia,18552,9.74
Teulada,4,Svizzera (incluso Liechtenstein),6271,3.29
Teulada,5,Regno Unito,4459,2.34
Thiesi,1,Italia,7450,84.88
Thiesi,2,Francia,330,3.76
Thiesi,3,Spagna,232,2.64
Thiesi,4,Svizzera (incluso Liechtenstein),231,2.63
Thiesi,5,Ucraina,92,1.05
Tinnura,1,Italia,115,26.5
Tinnura,2,Germania,97,22.35
Tinnura,3,Francia,94,21.66
Tinnura,4,Paesi Bassi,22,5.07
Tinnura,5,Repubblica Ceca,16,3.69
Tissi,1,Italia,354,33.05
Tissi,2,Francia,266,24.84
Tissi,3,Germania,99,9.24
Tissi,4,Spagna,98,9.15
Tissi,5,Regno Unito,48,4.48
Tonara,1,Italia,3058,70.61
Tonara,2,Germania,314,7.25
Tonara,3,Francia,203,4.69
Tonara,4,Regno Unito,129,2.98
Tonara,5,Paesi Bassi,125,2.89
Torpè,1,Italia,11639,47.48
Torpè,2,Germania,4687,19.12
Torpè,3,Francia,2138,8.72
Torpè,4,Paesi Bassi,841,3.43
Torpè,5,Spagna,791,3.23
Torralba,1,Italia,505,90.66
Torralba,2,Francia,13,2.33
Torralba,3,Romania,10,1.8
Torralba,4,Malta,8,1.44
Torralba,5,Germania,4,0.72
Tortolì,1,Italia,1345554,48.32
Tortolì,2,Germania,543201,19.51
Tortolì,3,Francia,184286,6.62
Tortolì,4,Svizzera (incluso Liechtenstein),174451,6.26
Tortolì,5,Austria,101963,3.66
Tramatza,1,Italia,13261,87.8
Tramatza,2,Francia,392,2.6
Tramatza,3,Altri Paesi dell'Africa,376,2.49
Tramatza,4,Altri Paesi Africa Mediterranea,273,1.81
Tramatza,5,Germania,166,1.1
Tratalias,1,Italia,9277,71.49
Tratalias,2,Francia,1046,8.06
Tratalias,3,Germania,800,6.17
Tratalias,4,Svizzera (incluso Liechtenstein),297,2.29
Tratalias,5,Austria,212,1.63
Tresnuraghes,1,Germania,27556,24.85
Tresnuraghes,2,Italia,25605,23.09
Tresnuraghes,3,Paesi Bassi,13511,12.18
Tresnuraghes,4,Francia,12695,11.45
Tresnuraghes,5,Svizzera (incluso Liechtenstein),5274,4.76
Triei,1,Italia,4481,34.54
Triei,2,Germania,2553,19.68
Triei,3,Francia,1080,8.32
Triei,4,Spagna,857,6.61
Triei,5,Polonia,664,5.12
Trinità D'Agultu E Vignola,1,Italia,317692,37.31
Trinità D'Agultu E Vignola,2,Germania,124488,14.62
Trinità D'Agultu E Vignola,3,Francia,93095,10.93
Trinità D'Agultu E Vignola,4,Svizzera (incluso Liechtenstein),51703,6.07
Trinità D'Agultu E Vignola,5,Regno Unito,42427,4.98
Tuili,1,Italia,424,46.19
Tuili,2,Francia,193,21.02
Tuili,3,Germania,65,7.08
Tuili,4,Paesi Bassi,62,6.75
Tuili,5,Svizzera (incluso Liechtenstein),49,5.34
Tula,1,Italia,2137,42.49
Tula,2,Germania,628,12.49
Tula,3,Francia,477,9.48
Tula,4,Svizzera (incluso Liechtenstein),369,7.34
Tula,5,Paesi Bassi,197,3.92
Turri,1,Italia,3096,51.61
Turri,2,Francia,786,13.1
Turri,3,Germania,683,11.39
Turri,4,Paesi Bassi,469,7.82
Turri,5,Regno Unito,185,3.08
Ulassai,1,Italia,10519,31.13
Ulassai,2,Germania,7219,21.36
Ulassai,3,Francia,2652,7.85
Ulassai,4,Svizzera (incluso Liechtenstein),2501,7.4
Ulassai,5,Stati Uniti d'America,1906,5.64
Ulà Tirso,1,Italia,353,49.37
Ulà Tirso,2,Repubblica Ceca,74,10.35
Ulà Tirso,3,Germania,55,7.69
Ulà Tirso,4,Francia,38,5.31
Ulà Tirso,5,Altri Paesi Africa Mediterranea,30,4.2
Uras,1,Italia,1801,58.27
Uras,2,Germania,420,13.59
Uras,3,Francia,202,6.54
Uras,4,Polonia,138,4.46
Uras,5,Spagna,130,4.21
Uri,1,Italia,4365,50.43
Uri,2,Francia,1182,13.66
Uri,3,Spagna,1004,11.6
Uri,4,Belgio,624,7.21
Uri,5,Polonia,290,3.35
Urzulei,1,Italia,7509,41.28
Urzulei,2,Germania,2514,13.82
Urzulei,3,Francia,2257,12.41
Urzulei,4,Paesi Bassi,852,4.68
Urzulei,5,Belgio,763,4.19
Usellus,1,Paesi Bassi,80,36.7
Usellus,2,Germania,64,29.36
Usellus,3,Francia,22,10.09
Usellus,4,Belgio,15,6.88
Usellus,5,Repubblica Ceca,12,5.5
Usini,1,Italia,471,38.7
Usini,2,Francia,195,16.02
Usini,3,Spagna,153,12.57
Usini,4,Paesi Bassi,108,8.87
Usini,5,Germania,93,7.64
Ussana,1,Italia,1021,35.26
Ussana,2,Francia,711,24.55
Ussana,3,Germania,322,11.12
Ussana,4,Paesi Bassi,243,8.39
Ussana,5,Spagna,125,4.32
Ussassai,1,Italia,1147,79.87
Ussassai,2,Germania,56,3.9
Ussassai,3,Francia,44,3.06
Ussassai,4,Spagna,37,2.58
Ussassai,5,Svizzera (incluso Liechtenstein),20,1.39
Uta,1,Italia,121403,89.18
Uta,2,Germania,4688,3.44
Uta,3,Belgio,1573,1.16
Uta,4,Francia,1119,0.82
Uta,5,Canada,1111,0.82
Valledoria,1,Italia,233359,27.58
Valledoria,2,Germania,194236,22.96
Valledoria,3,Polonia,90771,10.73
Valledoria,4,Francia,59406,7.02
Valledoria,5,Repubblica Ceca,57886,6.84
Vallermosa,1,Italia,3892,85.28
Vallermosa,2,Romania,184,4.03
Vallermosa,3,Germania,106,2.32
Vallermosa,4,Ungheria,88,1.93
Vallermosa,5,Belgio,80,1.75
Viddalba,1,Francia,6508,23.07
Viddalba,2,Italia,5175,18.35
Viddalba,3,Spagna,4818,17.08
Viddalba,4,Germania,4758,16.87
Viddalba,5,Repubblica Ceca,1318,4.67
Villa San Pietro,1,Italia,10998,41.49
Villa San Pietro,2,Germania,4061,15.32
Villa San Pietro,3,Francia,3305,12.47
Villa San Pietro,4,Spagna,1027,3.87
Villa San Pietro,5,Polonia,895,3.38
Villa Verde,1,Italia,6,31.58
Villa Verde,2,Spagna,6,31.58
Villa Verde,3,Altri Paesi Centro - Sud America,5,26.32
Villa Verde,4,Francia,2,10.53
Villacidro,1,Italia,8647,69.8
Villacidro,2,Germania,821,6.63
Villacidro,3,Francia,819,6.61
Villacidro,4,Spagna,390,3.15
Villacidro,5,Paesi Bassi,190,1.53
Villagrande Strisaili,1,Italia,4250,54.11
Villagrande Strisaili,2,Germania,1086,13.83
Villagrande Strisaili,3,Francia,788,10.03
Villagrande Strisaili,4,Svizzera (incluso Liechtenstein),460,5.86
Villagrande Strisaili,5,Regno Unito,246,3.13
Villamar,1,Italia,639,74.13
Villamar,2,Altri Paesi Europei,87,10.09
Villamar,3,Ungheria,56,6.5
Villamar,4,Polonia,18,2.09
Villamar,5,Germania,12,1.39
Villamassargia,1,Italia,3339,47.93
Villamassargia,2,Francia,1191,17.1
Villamassargia,3,Germania,712,10.22
Villamassargia,4,Spagna,384,5.51
Villamassargia,5,Polonia,250,3.59
Villanova Monteleone,1,Italia,3950,37.93
Villanova Monteleone,2,Germania,1880,18.05
Villanova Monteleone,3,Francia,1835,17.62
Villanova Monteleone,4,Spagna,914,8.78
Villanova Monteleone,5,Paesi Bassi,285,2.74
Villanova Tulo,1,Italia,137,90.73
Villanova Tulo,2,Germania,10,6.62
Villanova Tulo,3,Australia,2,1.32
Villanova Tulo,4,Stati Uniti d'America,1,0.66
Villanova Tulo,5,Svizzera (incluso Liechtenstein),1,0.66
Villanovaforru,1,Italia,62,36.26
Villanovaforru,2,Francia,43,25.15
Villanovaforru,3,Spagna,32,18.71
Villanovaforru,4,Paesi Bassi,16,9.36
Villanovaforru,5,Altri Paesi Africa Mediterranea,14,8.19
Villanovafranca,1,Italia,1048,30.49
Villanovafranca,2,Francia,738,21.47
Villanovafranca,3,Altri Paesi Europei,443,12.89
Villanovafranca,4,Paesi Bassi,289,8.41
Villanovafranca,5,Spagna,184,5.35
Villaperuccio,1,Italia,276,75.0
Villaperuccio,2,Germania,46,12.5
Villaperuccio,3,Francia,22,5.98
Villaperuccio,4,Polonia,10,2.72
Villaperuccio,5,Stati Uniti d'America,4,1.09
Villaputzu,1,Italia,59297,47.77
Villaputzu,2,Germania,26063,21.0
Villaputzu,3,Francia,9909,7.98
Villaputzu,4,Svizzera (incluso Liechtenstein),4399,3.54
Villaputzu,5,Paesi Bassi,4112,3.31
Villasalto,1,Germania,9,52.94
Villasalto,2,Italia,3,17.65
Villasalto,3,Repubblica Ceca,2,11.76
Villasalto,4,Francia,1,5.88
Villasalto,5,Portogallo,1,5.88
Villasimius,1,Italia,1898383,58.75
Villasimius,2,Germania,377427,11.68
Villasimius,3,Svizzera (incluso Liechtenstein),265244,8.21
Villasimius,4,Francia,97748,3.02
Villasimius,5,Regno Unito,89838,2.78
Villasor,1,Italia,2099,81.64
Villasor,2,Romania,122,4.75
Villasor,3,Altri Paesi Europei,103,4.01
Villasor,4,Francia,65,2.53
Villasor,5,Paesi Bassi,55,2.14
Villaspeciosa,1,Italia,1689,97.46
Villaspeciosa,2,Spagna,26,1.5
Villaspeciosa,3,Francia,14,0.81
Villaspeciosa,4,Germania,4,0.23
Villaurbana,1,Italia,294,42.92
Villaurbana,2,Spagna,141,20.58
Villaurbana,3,Germania,89,12.99
Villaurbana,4,Belgio,55,8.03
Villaurbana,5,Francia,48,7.01
Zeddiani,1,Italia,319,61.7
Zeddiani,2,Germania,84,16.25
Zeddiani,3,Slovacchia,28,5.42
Zeddiani,4,Francia,26,5.03
Zeddiani,5,Croazia,18,3.48
