comune,rank,mercato,presenze,quota_pct
Arborea,4,Romania,11302,2.73
Arborea,5,Svizzera (incluso Liechtenstein),6089,1.47
Arbus,1,Italia,125335,47.59
Arbus,2,Germania,52323,19.87
Arbus,3,Francia,20309,7.71
Arbus,4,Svizzera (incluso Liechtenstein),16618,6.31
Arbus,5,Austria,7009,2.66
Ardara,1,Italia,91,53.22
Ardara,2,Germania,19,11.11
Ardara,3,Egitto,10,5.85
Ardara,4,Portogallo,8,4.68
Ardara,5,Romania,8,4.68
Ardauli,1,Francia,20,76.92
Ardauli,2,Svizzera (incluso Liechtenstein),6,23.08
Aritzo,1,Italia,8278,54.78
Aritzo,2,Germania,2355,15.58
Aritzo,3,Svizzera (incluso Liechtenstein),886,5.86
Aritzo,4,Francia,785,5.19
Aritzo,5,Paesi Bassi,570,3.77
Armungia,1,Italia,255,59.3
Armungia,2,Spagna,60,13.95
Armungia,3,Germania,24,5.58
Armungia,4,Stati Uniti d'America,24,5.58
Armungia,5,Altri Paesi dell'Africa,18,4.19
Arzachena,1,Italia,1668911,34.34
Arzachena,2,Germania,873002,17.97
Arzachena,3,Regno Unito,368451,7.58
Arzachena,4,Svizzera (incluso Liechtenstein),293934,6.05
Arzachena,5,Stati Uniti d'America,230738,4.75
Arzana,1,Germania,435,36.13
Arzana,2,Italia,328,27.24
Arzana,3,Francia,181,15.03
Arzana,4,Paesi Bassi,52,4.32
Arzana,5,Polonia,47,3.9
Assemini,1,Italia,87736,71.77
Assemini,2,Francia,5701,4.66
Assemini,3,Germania,3945,3.23
Assemini,4,Belgio,3486,2.85
Assemini,5,Spagna,3449,2.82
Assolo,1,Germania,45,29.61
Assolo,2,Italia,36,23.68
Assolo,3,Spagna,32,21.05
Assolo,4,Francia,16,10.53
Assolo,5,Svizzera (incluso Liechtenstein),15,9.87
Atzara,1,Italia,1305,78.76
Atzara,2,Paesi Bassi,91,5.49
Atzara,3,Francia,58,3.5
Atzara,4,Germania,38,2.29
Atzara,5,Svizzera (incluso Liechtenstein),26,1.57
Austis,1,Italia,511,57.74
Austis,2,Francia,115,12.99
Austis,3,Germania,53,5.99
Austis,4,Stati Uniti d'America,31,3.5
Austis,5,Spagna,29,3.28
Badesi,1,Italia,765413,54.76
Badesi,2,Francia,131823,9.43
Badesi,3,Germania,113110,8.09
Badesi,4,Svizzera (incluso Liechtenstein),82686,5.92
Badesi,5,Regno Unito,50237,3.59
Ballao,1,Italia,356,56.06
Ballao,2,Germania,51,8.03
Ballao,3,Francia,45,7.09
Ballao,4,Spagna,35,5.51
Ballao,5,Polonia,33,5.2
Banari,1,Italia,193,25.77
Banari,2,Francia,91,12.15
Banari,3,Spagna,85,11.35
Banari,4,Paesi Bassi,78,10.41
Banari,5,Svizzera (incluso Liechtenstein),50,6.68
Baradili,1,Italia,112,37.71
Baradili,2,Francia,57,19.19
Baradili,3,Canada,48,16.16
Baradili,4,Germania,41,13.8
Baradili,5,Ungheria,14,4.71
Baratili San Pietro,1,Italia,5682,54.52
Baratili San Pietro,2,Francia,1441,13.83
Baratili San Pietro,3,Germania,991,9.51
Baratili San Pietro,4,Spagna,377,3.62
Baratili San Pietro,5,Belgio,248,2.38
Baressa,1,Italia,2025,57.5
Baressa,2,Germania,485,13.77
Baressa,3,Francia,211,5.99
Baressa,4,Spagna,171,4.86
Baressa,5,Paesi Bassi,120,3.41
Bari Sardo,1,Germania,326829,37.32
Bari Sardo,2,Italia,308394,35.21
Bari Sardo,3,Svizzera (incluso Liechtenstein),80651,9.21
Bari Sardo,4,Austria,32722,3.74
Bari Sardo,5,Paesi Bassi,25947,2.96
Barumini,1,Italia,5841,62.81
Barumini,2,Francia,850,9.14
Barumini,3,Germania,569,6.12
Barumini,4,Svizzera (incluso Liechtenstein),304,3.27
Barumini,5,Austria,223,2.4
Bauladu,1,Italia,2934,66.96
Bauladu,2,Francia,375,8.56
Bauladu,3,Paesi Bassi,163,3.72
