comune,presenze_totali,quota_italia_pct,quota_estero_pct,primo_mercato_estero,quota_primo_mercato_estero_pct
Norbello,9641.0,44.3,55.7,Spagna,15.11
Nughedu San Nicolò,1212.0,53.8,46.2,Germania,12.79
Nughedu Santa Vittoria,427.0,66.04,33.96,Germania,10.3
Nulvi,8871.0,16.01,83.99,Francia,26.42
Nuoro,211900.0,72.69,27.31,Francia,6.02
Nurachi,25959.0,52.16,47.84,Germania,15.56
Nuragus,183.0,81.42,18.58,Francia,9.84
Nurallao,2369.0,62.85,37.15,Francia,9.92
Nuraminis,10427.0,85.13,14.87,Romania,2.97
Nureci,1154.0,44.89,55.11,Germania,12.82
Nurri,4948.0,93.03,6.97,Spagna,1.82
Nuxis,905.0,35.58,64.42,Germania,20.11
Olbia,3934162.0,37.87,62.13,Germania,12.91
Oliena,136304.0,40.94,59.06,Stati Uniti d'America,10.19
Ollastra,112.0,75.0,25.0,Germania,8.93
Ollolai,1359.0,67.4,32.6,Austria,5.67
Olmedo,35054.0,43.03,56.97,Francia,13.62
Onifai,7441.0,35.3,64.7,Francia,15.95
Orani,6855.0,75.52,24.48,Francia,7.05
Orgosolo,21338.0,45.74,54.26,Francia,17.24
Oristano,798284.0,60.18,39.82,Germania,8.83
Orosei,3547266.0,60.87,39.13,Germania,16.38
Orroli,2394.0,51.88,48.12,Germania,13.28
Ortueri,595.0,67.56,32.44,Francia,28.74
Orune,15.0,100.0,0.0,,
Oschiri,3721.0,47.22,52.78,Germania,15.26
Osidda,87.0,88.51,11.49,Francia,6.9
Osilo,2999.0,13.07,86.93,Francia,21.47
Osini,5985.0,58.55,41.45,Francia,8.79
Ossi,3467.0,36.83,63.17,Francia,19.47
Ottana,10156.0,91.62,8.38,Cina,1.58
Ovodda,1225.0,97.47,2.53,Romania,1.39
Ozieri,17277.0,81.65,18.35,Romania,4.56
Pabillonis,3666.0,53.11,46.89,Germania,11.89
Padria,324.0,58.64,41.36,Regno Unito,19.75
Padru,9011.0,41.35,58.65,Germania,19.17
Palau,2554839.0,42.56,57.44,Germania,22.22
Palmas Arborea,485.0,75.88,24.12,Francia,13.4
Pattada,546.0,50.18,49.82,Francia,24.18
Pau,183.0,0.0,100.0,Polonia,34.43
Pauli Arbarei,1182.0,69.29,30.71,Germania,6.43
Paulilatino,9165.0,53.96,46.04,Germania,11.05
Perdasdefogu,1053.0,94.59,5.41,Germania,1.04
Perdaxius,172.0,5.81,94.19,Paesi Bassi,45.93
Perfugas,5438.0,23.39,76.61,Francia,22.78
Pimentel,2773.0,24.63,75.37,Francia,20.38
Piscinas,1840.0,80.0,20.0,Germania,6.58
Ploaghe,1689.0,65.6,34.4,Spagna,10.54
Pompu,174.0,65.52,34.48,Moldavia,7.47
Porto Torres,213807.0,56.43,43.57,Francia,13.7
Portoscuso,111269.0,50.78,49.22,Germania,11.01
Posada,134306.0,56.29,43.71,Germania,18.03
Pozzomaggiore,3244.0,32.71,67.29,Spagna,19.94
Pula,2185813.0,43.44,56.56,Germania,13.85
Putifigari,2783.0,42.94,57.06,Francia,26.23
Quartu Sant'Elena,1139175.0,35.08,64.92,Germania,13.61
Quartucciu,51056.0,50.27,49.73,Germania,9.98
Riola Sardo,50125.0,66.23,33.77,Germania,7.8
Ruinas,678.0,21.83,78.17,Francia,26.55
Sadali,3362.0,86.79,13.21,Germania,3.0
Sagama,839.0,64.36,35.64,Francia,17.4
Samassi,259.0,88.03,11.97,Altri Paesi dell'Africa,7.72
Samatzai,299.0,59.53,40.47,Francia,16.05
Samugheo,1143.0,63.17,36.83,Stati Uniti d'America,12.25
San Gavino Monreale,4849.0,86.37,13.63,Germania,2.74
San Giovanni Suergiu,48221.0,46.38,53.62,Germania,13.25
San Nicolò D'Arcidano,1506.0,60.23,39.77,Germania,15.94
San Sperate,6500.0,38.08,61.92,Francia,19.22
San Teodoro,3266490.0,58.97,41.03,Germania,14.38
San Vero Milis,201855.0,52.57,47.43,Germania,16.08
San Vito,25663.0,49.98,50.02,Germania,20.85
Sanluri,17360.0,64.59,35.41,Germania,7.5
Sant'Andrea Frius,92.0,78.26,21.74,Francia,14.13
Sant'Anna Arresi,323116.0,72.64,27.36,Germania,6.56
Sant'Antioco,440713.0,56.65,43.35,Germania,14.56
Sant'Antonio Di Gallura,38174.0,8.12,91.88,Paesi Bassi,24.71
Santa Giusta,6330.0,52.32,47.68,Francia,14.83
Santa Maria Coghinas,57929.0,41.58,58.42,Spagna,26.59
Santa Teresa Gallura,1945214.0,45.81,54.19,Francia,12.92
Santadi,3364.0,51.99,48.01,Francia,12.28
Santu Lussurgiu,33575.0,44.75,55.25,Germania,13.78
Sardara,206700.0,94.72,5.28,Francia,0.83
Sarroch,78627.0,50.58,49.42,Germania,14.63
Sarule,1219.0,79.49,20.51,Francia,6.73
Sassari,921377.0,68.43,31.57,Francia,5.66
Scano Di Montiferro,8501.0,24.02,75.98,Francia,22.6
Sedilo,5294.0,48.07,51.93,Francia,11.2
Sedini,1922.0,30.33,69.67,Germania,21.18
Selargius,116534.0,74.5,25.5,Francia,4.52
Selegas,231.0,46.75,53.25,Germania,19.05
Seneghe,1783.0,10.1,89.9,Germania,42.62
Sennariolo,5175.0,26.67,73.33,Germania,21.55
Sennori,8903.0,24.49,75.51,Spagna,20.35
Senorbì,6098.0,88.88,11.12,Germania,2.66
Serdiana,840.0,44.76,55.24,Francia,14.64
Serramanna,3279.0,48.61,51.39,Francia,13.72
Serrenti,273.0,76.19,23.81,Paesi Bassi,8.06
Serri,1812.0,47.96,52.04,Germania,14.13
Sestu,28621.0,66.43,33.57,Francia,9.14
Settimo San Pietro,2508.0,87.2,12.8,Spagna,3.83
Seui,43.0,20.93,79.07,Canada,34.88
Seulo,3934.0,43.9,56.1,Germania,13.62
Siamaggiore,10173.0,36.0,64.0,Germania,15.89
Siamanna,664.0,69.73,30.27,Francia,16.57
Siddi,25.0,48.0,52.0,Germania,24.0
Silanus,104.0,100.0,0.0,,
Siliqua,915.0,39.23,60.77,Francia,9.95
Silius,154.0,27.27,72.73,Francia,25.32
Simaxis,2906.0,63.35,36.65,Francia,12.01
Sindia,613.0,42.74,57.26,Spagna,33.93
Sini,173.0,37.57,62.43,Germania,27.17
Siniscola,738308.0,58.06,41.94,Germania,17.13
Sinnai,140408.0,41.27,58.73,Germania,20.04
Siurgus Donigala,661.0,35.55,64.45,Germania,15.43
Solarussa,6136.0,30.61,69.39,Francia,19.49
Soleminis,1964.0,45.93,54.07,Germania,9.98
Sorgono,3978.0,55.03,44.97,Germania,10.41
Sorradile,731.0,78.11,21.89,Regno Unito,4.38
Sorso,387786.0,47.16,52.84,Francia,23.99
Stintino,1353694.0,75.05,24.95,Germania,5.14
Suni,3966.0,36.43,63.57,Francia,20.37
Talana,1311.0,29.06,70.94,Svizzera (incluso Liechtenstein),16.63
Telti,14284.0,32.67,67.33,Germania,15.18
Tempio Pausania,142134.0,50.24,49.76,Germania,8.03
Tergu,34368.0,22.61,77.39,Francia,20.73
Terralba,15894.0,68.81,31.19,Francia,6.96
Tertenia,209208.0,25.32,74.68,Germania,33.21
Teti,536.0,79.1,20.9,Egitto,12.31
Teulada,190567.0,56.76,43.24,Germania,10.57
Thiesi,8777.0,84.88,15.12,Francia,3.76
Tinnura,434.0,26.5,73.5,Germania,22.35
Tissi,1071.0,33.05,66.95,Francia,24.84
Tonara,4331.0,70.61,29.39,Germania,7.25
Torpè,24516.0,47.48,52.52,Germania,19.12
Torralba,557.0,90.66,9.34,Francia,2.33
Tortolì,2784900.0,48.32,51.68,Germania,19.51
Tramatza,15104.0,87.8,12.2,Francia,2.6
Tratalias,12976.0,71.49,28.51,Francia,8.06
Tresnuraghes,110906.0,23.09,76.91,Germania,24.85
Triei,12973.0,34.54,65.46,Germania,19.68
Trinità D'Agultu E Vignola,851579.0,37.31,62.69,Germania,14.62
Tuili,918.0,46.19,53.81,Francia,21.02
Tula,5029.0,42.49,57.51,Germania,12.49
Turri,5999.0,51.61,48.39,Francia,13.1
Ulassai,33791.0,31.13,68.87,Germania,21.36
Ulà Tirso,715.0,49.37,50.63,Repubblica Ceca,10.35
Uras,3091.0,58.27,41.73,Germania,13.59
Uri,8655.0,50.43,49.57,Francia,13.66
Urzulei,18189.0,41.28,58.72,Germania,13.82
Usellus,218.0,3.67,96.33,Paesi Bassi,36.7
Usini,1217.0,38.7,61.3,Francia,16.02
Ussana,2896.0,35.26,64.74,Francia,24.55
Ussassai,1436.0,79.87,20.13,Germania,3.9
Uta,136136.0,89.18,10.82,Germania,3.44
Valledoria,846058.0,27.58,72.42,Germania,22.96
Vallermosa,4564.0,85.28,14.72,Romania,4.03
Viddalba,28206.0,18.35,81.65,Francia,23.07
Villa San Pietro,26506.0,41.49,58.51,Germania,15.32
Villa Verde,19.0,31.58,68.42,Spagna,31.58
Villacidro,12388.0,69.8,30.2,Germania,6.63
Villagrande Strisaili,7854.0,54.11,45.89,Germania,13.83
Villamar,862.0,74.13,25.87,Altri Paesi Europei,10.09
Villamassargia,6966.0,47.93,52.07,Francia,17.1
Villanova Monteleone,10413.0,37.93,62.07,Germania,18.05
Villanova Tulo,151.0,90.73,9.27,Germania,6.62
Villanovaforru,171.0,36.26,63.74,Francia,25.15
Villanovafranca,3437.0,30.49,69.51,Francia,21.47
Villaperuccio,368.0,75.0,25.0,Germania,12.5
Villaputzu,124134.0,47.77,52.23,Germania,21.0
Villasalto,17.0,17.65,82.35,Germania,52.94
Villasimius,3231446.0,58.75,41.25,Germania,11.68
Villasor,2571.0,81.64,18.36,Romania,4.75
Villaspeciosa,1733.0,97.46,2.54,Spagna,1.5
Villaurbana,685.0,42.92,57.08,Spagna,20.58
Zeddiani,517.0,61.7,38.3,Germania,16.25
