comune,anno,rank,mercato,presenze,quota_pct
Austis,2025,3,Germania,8,4.21
Austis,2025,4,Ungheria,8,4.21
Austis,2025,5,Finlandia,7,3.68
Badesi,2022,1,Italia,230879,68.78
Badesi,2022,2,Francia,21909,6.53
Badesi,2022,3,Germania,20476,6.1
Badesi,2022,4,Svizzera (incluso Liechtenstein),19194,5.72
Badesi,2022,5,Spagna,8417,2.51
Badesi,2023,1,Italia,184777,63.05
Badesi,2023,2,Germania,23203,7.92
Badesi,2023,3,Francia,20648,7.05
Badesi,2023,4,Svizzera (incluso Liechtenstein),17979,6.13
Badesi,2023,5,Regno Unito,8141,2.78
Badesi,2024,1,Italia,176357,47.05
Badesi,2024,2,Francia,52825,14.09
Badesi,2024,3,Germania,28026,7.48
Badesi,2024,4,Svizzera (incluso Liechtenstein),22093,5.89
Badesi,2024,5,Austria,19141,5.11
Badesi,2025,1,Italia,173400,43.98
Badesi,2025,2,Germania,41405,10.5
Badesi,2025,3,Francia,36441,9.24
Badesi,2025,4,Svizzera (incluso Liechtenstein),23420,5.94
Badesi,2025,5,Regno Unito,22170,5.62
Ballao,2023,1,Italia,185,60.06
Ballao,2023,2,Francia,30,9.74
Ballao,2023,3,Spagna,18,5.84
Ballao,2023,4,Germania,16,5.19
Ballao,2023,5,Polonia,14,4.55
Ballao,2024,1,Italia,81,61.83
Ballao,2024,2,Spagna,13,9.92
Ballao,2024,3,Regno Unito,12,9.16
Ballao,2024,4,Francia,8,6.11
Ballao,2024,5,Germania,6,4.58
Ballao,2025,1,Italia,90,45.92
Ballao,2025,2,Germania,29,14.8
Ballao,2025,3,Polonia,19,9.69
Ballao,2025,4,Francia,7,3.57
Ballao,2025,5,Paesi Bassi,6,3.06
Banari,2023,1,Italia,58,25.22
Banari,2023,2,Svizzera (incluso Liechtenstein),44,19.13
Banari,2023,3,Francia,34,14.78
Banari,2023,4,Paesi Bassi,22,9.57
Banari,2023,5,Spagna,22,9.57
Banari,2024,1,Italia,83,29.54
Banari,2024,2,Spagna,37,13.17
Banari,2024,3,Stati Uniti d'America,34,12.1
Banari,2024,4,Paesi Bassi,22,7.83
Banari,2024,5,Polonia,21,7.47
Banari,2025,1,Italia,52,21.85
Banari,2025,2,Francia,43,18.07
Banari,2025,3,Germania,36,15.13
Banari,2025,4,Paesi Bassi,34,14.29
Banari,2025,5,Spagna,26,10.92
Baradili,2023,1,Italia,30,75.0
Baradili,2023,2,Stati Uniti d'America,5,12.5
Baradili,2023,3,Spagna,3,7.5
Baradili,2023,4,Paesi Bassi,2,5.0
Baradili,2024,1,Germania,32,57.14
Baradili,2024,2,Italia,12,21.43
Baradili,2024,3,Francia,11,19.64
Baradili,2024,4,Argentina,1,1.79
Baradili,2025,1,Italia,70,34.83
Baradili,2025,2,Canada,48,23.88
Baradili,2025,3,Francia,46,22.89
Baradili,2025,4,Ungheria,14,6.97
Baradili,2025,5,Germania,9,4.48
Baratili San Pietro,2022,1,Italia,1655,70.55
Baratili San Pietro,2022,2,Francia,238,10.14
Baratili San Pietro,2022,3,Germania,186,7.93
Baratili San Pietro,2022,4,Spagna,79,3.37
Baratili San Pietro,2022,5,Belgio,42,1.79
Baratili San Pietro,2023,1,Italia,983,56.85
Baratili San Pietro,2023,2,Francia,270,15.62
Baratili San Pietro,2023,3,Belgio,152,8.79
Baratili San Pietro,2023,4,Germania,96,5.55
Baratili San Pietro,2023,5,Spagna,88,5.09
Baratili San Pietro,2024,1,Italia,1539,55.32
Baratili San Pietro,2024,2,Francia,312,11.21
Baratili San Pietro,2024,3,Germania,296,10.64
Baratili San Pietro,2024,4,Regno Unito,117,4.21
Baratili San Pietro,2024,5,Romania,90,3.24
Baratili San Pietro,2025,1,Italia,1505,42.22
Baratili San Pietro,2025,2,Francia,621,17.42
Baratili San Pietro,2025,3,Germania,413,11.58
Baratili San Pietro,2025,4,Spagna,160,4.49
Baratili San Pietro,2025,5,Paesi Bassi,109,3.06
Baressa,2023,1,Italia,673,62.37
Baressa,2023,2,Germania,113,10.47
