comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Assolo,2024,5,151.99,17.0,2.45,0,True
Assolo,2024,6,151.99,17.0,2.45,0,True
Assolo,2024,7,151.99,17.0,2.45,0,True
Assolo,2024,8,151.99,17.0,2.45,0,True
Assolo,2024,9,151.99,17.0,2.45,0,True
Assolo,2024,10,151.99,17.0,2.45,0,True
Assolo,2024,11,151.99,17.0,2.45,0,True
Assolo,2024,12,151.99,17.0,2.45,0,True
Atzara,2024,1,395.0,18.0,6.01,0,True
Atzara,2024,2,395.0,18.0,6.01,0,True
Atzara,2024,3,395.0,18.0,6.01,0,True
Atzara,2024,4,395.0,18.0,6.01,0,True
Atzara,2024,5,395.0,18.0,6.01,0,True
Atzara,2024,6,395.0,18.0,6.01,0,True
Atzara,2024,7,395.0,18.0,6.01,0,True
Atzara,2024,8,395.0,18.0,6.01,0,True
Atzara,2024,9,395.0,18.0,6.01,0,True
Atzara,2024,10,395.0,18.0,6.01,0,True
Atzara,2024,11,395.0,18.0,6.01,0,True
Atzara,2024,12,395.0,18.0,6.01,0,True
Austis,2024,1,315.99,70.0,1.24,0,True
Austis,2024,2,315.99,70.0,1.24,0,True
Austis,2024,3,315.99,70.0,1.24,0,True
Austis,2024,4,315.99,70.0,1.24,0,True
Austis,2024,5,315.99,70.0,1.24,0,True
Austis,2024,6,315.99,70.0,1.24,0,True
Austis,2024,7,315.99,70.0,1.24,0,True
Austis,2024,8,315.99,70.0,1.24,0,True
Austis,2024,9,315.99,70.0,1.24,0,True
Austis,2024,10,315.99,70.0,1.24,0,True
Austis,2024,11,315.99,70.0,1.24,0,True
Austis,2024,12,315.99,70.0,1.24,0,True
Badesi,2024,1,374834.0,6309.0,16.28,0,True
Badesi,2024,2,374834.0,6309.0,16.28,0,True
Badesi,2024,3,374834.0,6309.0,16.28,0,True
Badesi,2024,4,374834.0,6309.0,16.28,0,True
Badesi,2024,5,374834.0,6309.0,16.28,0,True
Badesi,2024,6,374834.0,6309.0,16.28,0,True
Badesi,2024,7,374834.0,6309.0,16.28,0,True
Badesi,2024,8,374834.0,6309.0,16.28,0,True
Badesi,2024,9,374834.0,6309.0,16.28,0,True
Badesi,2024,10,374834.0,6309.0,16.28,0,True
Badesi,2024,11,374834.0,6309.0,16.28,0,True
Badesi,2024,12,374834.0,6309.0,16.28,0,True
Ballao,2024,1,131.0,8.0,4.49,0,True
Ballao,2024,2,131.0,8.0,4.49,0,True
Ballao,2024,3,131.0,8.0,4.49,0,True
Ballao,2024,4,131.0,8.0,4.49,0,True
Ballao,2024,5,131.0,8.0,4.49,0,True
Ballao,2024,6,131.0,8.0,4.49,0,True
Ballao,2024,7,131.0,8.0,4.49,0,True
Ballao,2024,8,131.0,8.0,4.49,0,True
Ballao,2024,9,131.0,8.0,4.49,0,True
Ballao,2024,10,131.0,8.0,4.49,0,True
Ballao,2024,11,131.0,8.0,4.49,0,True
Ballao,2024,12,131.0,8.0,4.49,0,True
Banari,2024,1,281.0,11.0,7.0,0,True
Banari,2024,2,281.0,11.0,7.0,0,True
Banari,2024,3,281.0,11.0,7.0,0,True
Banari,2024,4,281.0,11.0,7.0,0,True
Banari,2024,5,281.0,11.0,7.0,0,True
Banari,2024,6,281.0,11.0,7.0,0,True
Banari,2024,7,281.0,11.0,7.0,0,True
