Comune,Totale
Cabras,8749
Cuglieri,2468
Curcuris,302
Flussio,412
Fordongianus,831
Ghilarza,4181
Gonnoscodina,433
Gonnosnò,708
Gonnostramatza,808
Laconi,1674
Magomadas,602
Marrubiu,4611
Masullas,1006
Milis,1396
Modolo,170
Mogorella,408
Mogoro,3907
Montresta,438
Morgongiori,661
Narbolia,1666
Neoneli,608
Norbello,1125
Nughedu Santa Vittoria,433
Nurachi,1683
Nureci,314
Ollastra,1129
Oristano,30447
Palmas Arborea,1483
Pau,274
Paulilatino,2116
Pompu,219
Riola Sardo,2040
Ruinas,600
Sagama,191
Samugheo,2757
San Nicolò d'Arcidano,2490
Santa Giusta,4643
Santu Lussurgiu,2217
San Vero Milis,2423
Scano di Montiferro,1404
Sedilo,1955
Seneghe,1643
Senis,406
Sennariolo,156
Siamaggiore,870
Siamanna,766
Siapiccia,347
Simala,284
Simaxis,2136
Sini,441
Siris,227
Soddì,123
Solarussa,2283
Sorradile,344
Suni,977
Tadasuni,138
Terralba,9734
Tinnura,246
Tramatza,932
Tresnuraghes,1020
Ulà Tirso,463
Uras,2675
Usellus,710
Villanova Truschedu,286
Villa Sant'Antonio,330
Villaurbana,1468
Villa Verde,277
Zeddiani,1130
Zerfaliu,1000
Arbus,5741
Armungia,418
Ballao,719
Barrali,1101
Barumini,1157
Buggerru,1052
Burcei,2629
Calasetta,2779
Carbonia,26309
Carloforte,5937
Castiadas,1698
Collinas,775
Decimoputzu,4175
Dolianova,9448
Domus de Maria,1641
Domusnovas,5871
Donori,1974
Escalaplano,2063
Escolca,544
Esterzili,563
Fluminimaggiore,2645
Furtei,1519
Genoni,764
Genuri,306
Gergei,1125
Gesico,742
Gesturi,1152
Giba,1920
Goni,448
Gonnesa,4618
Gonnosfanadiga,6163
Guamaggiore,904
Guasila,2484
Guspini,10996
Iglesias,25135
Isili,2452
Las Plassas,210
Lunamatrona,1619
Mandas,2004
Masainas,1228
Monastir,4452
Muravera,5172
Musei,1508
Narcao,3052
Nuragus,839
Nurallao,1149
Nuraminis,2311
Nurri,2027
Nuxis,1437
Orroli,1968
Ortacesus,873
Pabillonis,2481
Pauli Arbarei,567
Perdaxius,1305
Pimentel,1121
Piscinas,794
Portoscuso,4834
Sadali,843
Samassi,4803
Samatzai,1534
San Basilio,1124
San Gavino Monreale,8072
San Giovanni Suergiu,5644
Sanluri,8132
San Nicolò Gerrei,721
San Sperate,8419
Santadi,3170
Sant'Andrea Frius,1692
Sant'Anna Arresi,2620
Sant'Antioco,10668
San Vito,3428
Sardara,3811
Segariu,1112
Selegas,1283
Senorbì,4793
Serdiana,2659
Serramanna,8610
Serrenti,4541
Serri,613
Setzu,131
Seui,1153
Seulo,782
Siddi,583
Siliqua,3565
Silius,1034
Siurgus Donigala,1824
Soleminis,1869
Suelli,1070
Teulada,3256
Tratalias,1021
Tuili,930
Turri,376
Ussana,4027
Ussaramanna,489
Vallermosa,1806
Villacidro,13210
Villamar,2438
Villamassargia,3367
Villanovaforru,583
Villanovafranca,1190
Villanova Tulo,1005
Villaperuccio,1007
Villaputzu,4435
Villasalto,955
Villasimius,3689
Villasor,6618
Villaspeciosa,2575
