Comune,Totale
Portoscuso,4792
Sadali,802
Samassi,4757
Samatzai,1528
San Basilio,1095
San Gavino Monreale,7959
San Giovanni Suergiu,5621
Sanluri,8070
San Nicolò Gerrei,727
San Sperate,8488
Santadi,3094
Sant'Andrea Frius,1665
Sant'Anna Arresi,2642
Sant'Antioco,10601
San Vito,3418
Sardara,3777
Segariu,1099
Selegas,1278
Senorbì,4793
Serdiana,2645
Serramanna,8504
Serrenti,4506
Serri,605
Setzu,125
Seui,1146
Seulo,774
Siddi,559
Siliqua,3529
Silius,1015
Siurgus Donigala,1834
Soleminis,1873
Suelli,1080
Teulada,3220
Tratalias,988
Tuili,916
Turri,375
Ussana,4017
Ussaramanna,475
Vallermosa,1783
Villacidro,13117
Villamar,2418
Villamassargia,3326
Villanovaforru,655
Villanovafranca,1163
Villanova Tulo,1007
Villaperuccio,1006
Villaputzu,4438
Villasalto,938
Villasimius,3721
Villasor,6600
Villaspeciosa,2616
