comune,anno,abitazioni_totali,abitazioni_occupate,abitazioni_non_occupate,somma_controllo,differenza
Gonnosnò,2021,532,325,207,532,0
Gonnosnò,2023,536,321,215,536,0
Gonnostramatza,2019,559,353,206,559,0
Gonnostramatza,2021,560,343,217,560,0
Gonnostramatza,2023,564,345,219,564,0
Guamaggiore,2019,511,416,95,511,0
Guamaggiore,2021,513,433,80,513,0
Guamaggiore,2023,516,414,102,516,0
Guasila,2019,1464,1113,351,1464,0
Guasila,2021,1468,1129,339,1468,0
Guasila,2023,1470,1103,367,1470,0
Guspini,2019,6010,4811,1199,6010,0
Guspini,2021,6026,4781,1245,6026,0
Guspini,2023,6090,4776,1314,6090,0
Iglesias,2019,14208,11724,2484,14208,0
Iglesias,2021,14211,11862,2349,14211,0
Iglesias,2023,14591,11888,2703,14591,0
Ilbono,2019,1480,940,540,1480,0
Ilbono,2021,1248,890,358,1248,0
Ilbono,2023,1273,895,378,1273,0
Illorai,2019,671,372,299,671,0
Illorai,2021,672,357,315,672,0
Illorai,2023,669,347,322,669,0
Irgoli,2019,1105,1006,99,1105,0
Irgoli,2021,1117,1010,107,1117,0
Irgoli,2023,1155,1007,148,1155,0
Isili,2019,1482,1101,381,1482,0
Isili,2021,1490,1123,367,1490,0
Isili,2023,1536,1124,412,1536,0
Ittireddu,2019,411,209,202,411,0
Ittireddu,2021,409,211,198,409,0
Ittireddu,2023,411,214,197,411,0
Ittiri,2019,4074,3585,489,4074,0
Ittiri,2021,4074,3499,575,4074,0
Ittiri,2023,4102,3473,629,4102,0
Jerzu,2019,2473,1508,965,2473,0
Jerzu,2021,2476,1470,1006,2476,0
Jerzu,2023,2534,1428,1106,2534,0
La Maddalena,2019,10044,5483,4561,10044,0
La Maddalena,2021,10122,5420,4702,10122,0
La Maddalena,2023,10292,5392,4900,10292,0
Laconi,2019,1458,841,617,1458,0
Laconi,2021,1442,825,617,1442,0
Laconi,2023,1444,818,626,1444,0
Laerru,2019,673,392,281,673,0
Laerru,2021,675,395,280,675,0
Laerru,2023,675,393,282,675,0
Lanusei,2019,3303,2380,923,3303,0
Lanusei,2021,3298,2400,898,3298,0
Lanusei,2023,3341,2432,909,3341,0
Las Plassas,2019,201,106,95,201,0
Las Plassas,2021,203,108,95,203,0
Las Plassas,2023,202,103,99,202,0
Lei,2019,353,218,135,353,0
Lei,2021,352,213,139,352,0
Lei,2023,351,207,144,351,0
Loceri,2019,976,610,366,976,0
Loceri,2021,986,632,354,986,0
Loceri,2023,995,648,347,995,0
Loculi,2019,322,249,73,322,0
Loculi,2021,323,257,66,323,0
Loculi,2023,333,247,86,333,0
Lodine,2019,156,152,4,156,0
Lodine,2021,153,148,5,153,0
Lodine,2023,155,143,12,155,0
Lodè,2019,1407,825,582,1407,0
Lodè,2021,1406,803,603,1406,0
