comune,popolazione_residente,anno
Villanova Monteleone,2124,2022
Aritzo,1237,2022
Arzana,2259,2022
Atzara,1026,2022
Austis,772,2022
Bari Sardo,3861,2022
Baunei,3480,2022
Belvì,560,2022
Birori,499,2022
Bitti,2610,2022
Bolotana,2419,2022
Borore,1994,2022
Bortigali,1205,2022
Cardedu,1927,2022
Desulo,2149,2022
Dorgali,8368,2022
Dualchi,576,2022
Elini,559,2022
Fonni,3692,2022
Gadoni,703,2022
Gairo,1304,2022
Galtellì,2384,2022
Gavoi,2497,2022
Girasole,1335,2022
Ilbono,2004,2022
Irgoli,2232,2022
Jerzu,3054,2022
Lanusei,5091,2022
Lei,470,2022
Loceri,1279,2022
Loculi,508,2022
Lodè,1529,2022
Lodine,307,2022
Lotzorai,2116,2022
Lula,1266,2022
Macomer,9444,2022
Mamoiada,2426,2022
Meana Sardo,1624,2022
Noragugume,286,2022
Nuoro,34183,2022
Oliena,6657,2022
Ollolai,1202,2022
Olzai,774,2022
Onanì,373,2022
Onifai,697,2022
Oniferi,873,2022
Orani,2723,2022
Orgosolo,3971,2022
Orosei,6833,2022
Orotelli,1905,2022
Ortueri,1049,2022
Orune,2177,2022
Osidda,219,2022
Osini,727,2022
Ottana,2199,2022
Ovodda,1536,2022
Perdasdefogu,1763,2022
Posada,3020,2022
Sarule,1564,2022
Silanus,2018,2022
Sindia,1609,2022
Siniscola,11245,2022
Sorgono,1529,2022
Talana,964,2022
Tertenia,3855,2022
Teti,610,2022
Tiana,444,2022
Tonara,1812,2022
Torpè,2720,2022
Tortolì,11024,2022
Triei,1071,2022
Ulassai,1369,2022
Urzulei,1125,2022
Ussassai,473,2022
Villagrande Strisaili,3011,2022
Assemini,26159,2022
Cagliari,149092,2022
Capoterra,23235,2022
Decimomannu,8336,2022
Elmas,9424,2022
Maracalagonis,7909,2022
Monserrato,19118,2022
Pula,7106,2022
Quartucciu,12910,2022
Quartu Sant'Elena,68853,2022
Sarroch,5057,2022
Selargius,28648,2022
Sestu,20800,2022
Settimo San Pietro,6882,2022
Sinnai,17323,2022
Uta,8671,2022
Villa San Pietro,2165,2022
Abbasanta,2594,2022
Aidomaggiore,398,2022
Albagiara,246,2022
Ales,1293,2022
Allai,358,2022
Arborea,3777,2022
Ardauli,780,2022
Assolo,348,2022
Asuni,311,2022
Baradili,76,2022
Baratili San Pietro,1211,2022
Baressa,568,2022
Bauladu,647,2022
Bidonì,128,2022
Bonarcado,1519,2022
Boroneddu,154,2022
Bosa,7539,2022
Busachi,1172,2022
Cabras,8809,2022
Cuglieri,2487,2022
Curcuris,311,2022
Flussio,426,2022
Fordongianus,850,2022
Ghilarza,4241,2022
Gonnoscodina,436,2022
Gonnosnò,712,2022
Gonnostramatza,809,2022
Laconi,1685,2022
Magomadas,604,2022
Marrubiu,4643,2022
Masullas,1012,2022
Milis,1433,2022
Modolo,155,2022
Mogorella,412,2022
Mogoro,3959,2022
Montresta,440,2022
Morgongiori,661,2022
Narbolia,1692,2022
Neoneli,622,2022
Norbello,1141,2022
Nughedu Santa Vittoria,441,2022
Nurachi,1692,2022
Nureci,320,2022
Ollastra,1144,2022
Oristano,30653,2022
Palmas Arborea,1475,2022
Pau,276,2022
Paulilatino,2096,2022
Pompu,215,2022
Riola Sardo,2060,2022
Ruinas,621,2022
Sagama,195,2022
Samugheo,2796,2022
San Nicolò D'Arcidano,2526,2022
Santa Giusta,4646,2022
Santu Lussurgiu,2229,2022
San Vero Milis,2434,2022
Scano Di Montiferro,1417,2022
Sedilo,1995,2022
Seneghe,1682,2022
Senis,424,2022
Sennariolo,155,2022
Siamaggiore,884,2022
Siamanna,773,2022
Siapiccia,344,2022
Simala,284,2022
Simaxis,2146,2022
Sini,485,2022
Siris,223,2022
Soddì,120,2022
Solarussa,2291,2022
Sorradile,349,2022
Suni,994,2022
Tadasuni,141,2022
Terralba,9792,2022
Tinnura,239,2022
Tramatza,937,2022
Tresnuraghes,1051,2022
Ulà Tirso,475,2022
Uras,2697,2022
Usellus,727,2022
Villanova Truschedu,293,2022
Villa Sant'Antonio,333,2022
Villaurbana,1490,2022
Villa Verde,288,2022
Zeddiani,1131,2022
Zerfaliu,1017,2022
Arbus,5843,2022
Armungia,428,2022
Ballao,731,2022
Barrali,1095,2022
Barumini,1176,2022
Buggerru,1053,2022
Burcei,2666,2022
Calasetta,2802,2022
Carbonia,26565,2022
Carloforte,5983,2022
Castiadas,1661,2022
Collinas,781,2022
Decimoputzu,4205,2022
Dolianova,9496,2022
Domus De Maria,1628,2022
Domusnovas,5922,2022
Donori,1976,2022
Escalaplano,2092,2022
Escolca,543,2022
Esterzili,565,2022
Fluminimaggiore,2681,2022
Furtei,1525,2022
Genoni,771,2022
Genuri,314,2022
Gergei,1137,2022
Gesico,771,2022
Gesturi,1164,2022
Giba,1919,2022
Goni,455,2022
Gonnesa,4697,2022
Gonnosfanadiga,6243,2022
Guamaggiore,919,2022
Guasila,2509,2022
Guspini,11134,2022
Iglesias,25382,2022
Isili,2503,2022
Las Plassas,215,2022
Lunamatrona,1649,2022
Mandas,2028,2022
Masainas,1227,2022
Monastir,4469,2022
Muravera,5171,2022
Musei,1512,2022
Narcao,3105,2022
Nuragus,842,2022
Nurallao,1178,2022
Nuraminis,2339,2022
Nurri,2034,2022
Nuxis,1455,2022
Orroli,2017,2022
Ortacesus,883,2022
Pabillonis,2540,2022
Pauli Arbarei,564,2022
Perdaxius,1326,2022
Pimentel,1131,2022
Piscinas,816,2022
Portoscuso,4869,2022
Sadali,873,2022
Samassi,4836,2022
Samatzai,1558,2022
San Basilio,1150,2022
San Gavino Monreale,8160,2022
San Giovanni Suergiu,5689,2022
Sanluri,8170,2022
San Nicolò Gerrei,718,2022
San Sperate,8398,2022
Santadi,3194,2022
Sant'Andrea Frius,1717,2022
Sant'Anna Arresi,2663,2022
Sant'Antioco,10756,2022
San Vito,3488,2022
Sardara,3842,2022
Segariu,1112,2022
Selegas,1306,2022
Senorbì,4762,2022
Serdiana,2665,2022
Serramanna,8640,2022
Serrenti,4581,2022
Serri,629,2022
Setzu,133,2022
Seui,1178,2022
Seulo,795,2022
Siddi,595,2022
Siliqua,3614,2022
Silius,1064,2022
Siurgus Donigala,1848,2022
Soleminis,1854,2022
Suelli,1082,2022
Teulada,3300,2022
Tratalias,1020,2022
Tuili,948,2022
Turri,391,2022
Ussana,4023,2022
Ussaramanna,492,2022
Vallermosa,1810,2022
Villacidro,13317,2022
Villamar,2472,2022
Villamassargia,3440,2022
Villanovaforru,622,2022
Villanovafranca,1201,2022
Villanova Tulo,1019,2022
Villaperuccio,1010,2022
Villaputzu,4509,2022
Villasalto,989,2022
Villasimius,3705,2022
Villasor,6599,2022
Villaspeciosa,2536,2022
Aggius,1411,2023
Aglientu,1168,2023
Alà Dei Sardi,1765,2023
Alghero,42420,2023
Anela,568,2023
Ardara,730,2023
Arzachena,13399,2023
Badesi,1822,2023
Banari,515,2023
Benetutti,1683,2023
Berchidda,2605,2023
Bessude,383,2023
Bonnanaro,920,2023
Bono,3319,2023
Bonorva,3178,2023
Bortigiadas,714,2023
Borutta,254,2023
Bottidda,648,2023
Buddusò,3614,2023
Budoni,5434,2023
Bultei,829,2023
Bulzi,452,2023
Burgos,852,2023
Calangianus,3815,2023
Cargeghe,585,2023
Castelsardo,5674,2023
Cheremule,396,2023
Chiaramonti,1531,2023
Codrongianos,1279,2023
Cossoine,761,2023
Erula,688,2023
Esporlatu,375,2023
Florinas,1446,2023
Giave,483,2023
Golfo Aranci,2376,2023
Illorai,748,2023
Ittireddu,470,2023
Ittiri,8043,2023
Laerru,845,2023
La Maddalena,10609,2023
Loiri Porto San Paolo,3689,2023
Luogosanto,1825,2023
Luras,2387,2023
Mara,530,2023
Martis,467,2023
Monteleone Rocca Doria,106,2023
Monti,2334,2023
Mores,1722,2023
Muros,819,2023
Nughedu San Nicolò,748,2023
Nule,1285,2023
Nulvi,2638,2023
Olbia,61172,2023
Olmedo,4187,2023
Oschiri,3016,2023
Osilo,2800,2023
Ossi,5474,2023
Ozieri,9853,2023
Padria,598,2023
Padru,2072,2023
Palau,4053,2023
Pattada,2859,2023
Perfugas,2253,2023
Ploaghe,4285,2023
Porto Torres,21202,2023
Pozzomaggiore,2378,2023
Putifigari,674,2023
Romana,480,2023
Santa Maria Coghinas,1303,2023
Sant'Antonio Di Gallura,1432,2023
Santa Teresa Gallura,5036,2023
San Teodoro,5035,2023
Sassari,121409,2023
Sedini,1247,2023
Semestene,130,2023
Sennori,6876,2023
Siligo,791,2023
Sorso,14434,2023
Stintino,1535,2023
Telti,2231,2023
Tempio Pausania,13238,2023
Tergu,607,2023
Thiesi,2777,2023
Tissi,2339,2023
Torralba,888,2023
Trinità D'Agultu E Vignola,2239,2023
Tula,1439,2023
Uri,2826,2023
Usini,4219,2023
Valledoria,4301,2023
Viddalba,1596,2023
Villanova Monteleone,2098,2023
Aritzo,1201,2023
Arzana,2232,2023
Atzara,1002,2023
Austis,744,2023
Bari Sardo,3837,2023
Baunei,3437,2023
Belvì,555,2023
Birori,496,2023
Bitti,2584,2023
Bolotana,2362,2023
Borore,1953,2023
Bortigali,1229,2023
Cardedu,1943,2023
Desulo,2078,2023
Dorgali,8354,2023
Dualchi,571,2023
Elini,556,2023
Fonni,3644,2023
Gadoni,678,2023
Gairo,1293,2023
Galtellì,2356,2023
Gavoi,2488,2023
Girasole,1353,2023
Ilbono,1986,2023
Irgoli,2201,2023
Jerzu,3003,2023
Lanusei,5049,2023
Lei,465,2023
Loceri,1287,2023
Loculi,491,2023
Lodè,1509,2023
Lodine,305,2023
Lotzorai,2126,2023
Lula,1256,2023
Macomer,9352,2023
Mamoiada,2384,2023
Meana Sardo,1599,2023
Noragugume,279,2023
Nuoro,33923,2023
Oliena,6607,2023
Ollolai,1174,2023
Olzai,766,2023
Onanì,359,2023
Onifai,709,2023
Oniferi,859,2023
Orani,2702,2023
Orgosolo,3948,2023
Orosei,6799,2023
Orotelli,1892,2023
Ortueri,1029,2023
Orune,2141,2023
Osidda,217,2023
Osini,714,2023
Ottana,2173,2023
Ovodda,1522,2023
Perdasdefogu,1724,2023
Posada,3029,2023
Sarule,1527,2023
Silanus,1984,2023
Sindia,1586,2023
Siniscola,11194,2023
Sorgono,1491,2023
Talana,955,2023
Tertenia,3867,2023
Teti,595,2023
Tiana,435,2023
Tonara,1755,2023
Torpè,2705,2023
Tortolì,10985,2023
Triei,1056,2023
Ulassai,1371,2023
Urzulei,1094,2023
Ussassai,448,2023
Villagrande Strisaili,2947,2023
Assemini,25926,2023
Cagliari,148296,2023
Capoterra,23181,2023
Decimomannu,8390,2023
Elmas,9448,2023
Maracalagonis,7940,2023
Monserrato,18968,2023
Pula,7135,2023
Quartucciu,12852,2023
Quartu Sant'Elena,68755,2023
Sarroch,5048,2023
Selargius,28504,2023
Sestu,20811,2023
Settimo San Pietro,6913,2023
Sinnai,17227,2023
Uta,8814,2023
Villa San Pietro,2156,2023
Abbasanta,2585,2023
Aidomaggiore,395,2023
Albagiara,241,2023
Ales,1267,2023
Allai,357,2023
Arborea,3746,2023
Ardauli,764,2023
Assolo,342,2023
Asuni,303,2023
Baradili,78,2023
Baratili San Pietro,1220,2023
Baressa,559,2023
Bauladu,632,2023
Bidonì,126,2023
Bonarcado,1525,2023
Boroneddu,150,2023
Bosa,7488,2023
Busachi,1153,2023
Cabras,8749,2023
Cuglieri,2468,2023
Curcuris,302,2023
Flussio,412,2023
Fordongianus,831,2023
Ghilarza,4181,2023
Gonnoscodina,433,2023
Gonnosnò,708,2023
Gonnostramatza,808,2023
Laconi,1674,2023
Magomadas,602,2023
Marrubiu,4611,2023
Masullas,1006,2023
Milis,1396,2023
Modolo,170,2023
Mogorella,408,2023
Mogoro,3907,2023
Montresta,438,2023
Morgongiori,661,2023
Narbolia,1666,2023
Neoneli,608,2023
Norbello,1125,2023
Nughedu Santa Vittoria,433,2023
Nurachi,1683,2023
Nureci,314,2023
Ollastra,1129,2023
Oristano,30447,2023
Palmas Arborea,1483,2023
Pau,274,2023
Paulilatino,2116,2023
Pompu,219,2023
Riola Sardo,2040,2023
Ruinas,600,2023
Sagama,191,2023
Samugheo,2757,2023
San Nicolò D'Arcidano,2490,2023
Santa Giusta,4643,2023
Santu Lussurgiu,2217,2023
San Vero Milis,2423,2023
Scano Di Montiferro,1404,2023
Sedilo,1955,2023
Seneghe,1643,2023
Senis,406,2023
Sennariolo,156,2023
Siamaggiore,870,2023
Siamanna,766,2023
Siapiccia,347,2023
Simala,284,2023
Simaxis,2136,2023
Sini,441,2023
Siris,227,2023
Soddì,123,2023
Solarussa,2283,2023
Sorradile,344,2023
Suni,977,2023
Tadasuni,138,2023
Terralba,9734,2023
Tinnura,246,2023
Tramatza,932,2023
Tresnuraghes,1020,2023
Ulà Tirso,463,2023
Uras,2675,2023
Usellus,710,2023
Villanova Truschedu,286,2023
Villa Sant'Antonio,330,2023
Villaurbana,1468,2023
Villa Verde,277,2023
Zeddiani,1130,2023
Zerfaliu,1000,2023
Arbus,5741,2023
Armungia,418,2023
Ballao,719,2023
Barrali,1101,2023
Barumini,1157,2023
Buggerru,1052,2023
Burcei,2629,2023
Calasetta,2779,2023
Carbonia,26309,2023
Carloforte,5937,2023
Castiadas,1698,2023
Collinas,775,2023
Decimoputzu,4175,2023
Dolianova,9448,2023
Domus De Maria,1641,2023
Domusnovas,5871,2023
Donori,1974,2023
Escalaplano,2063,2023
Escolca,544,2023
Esterzili,563,2023
Fluminimaggiore,2645,2023
Furtei,1519,2023
Genoni,764,2023
Genuri,306,2023
Gergei,1125,2023
Gesico,742,2023
Gesturi,1152,2023
Giba,1920,2023
Goni,448,2023
Gonnesa,4618,2023
Gonnosfanadiga,6163,2023
Guamaggiore,904,2023
Guasila,2484,2023
Guspini,10996,2023
Iglesias,25135,2023
Isili,2452,2023
Las Plassas,210,2023
Lunamatrona,1619,2023
Mandas,2004,2023
Masainas,1228,2023
Monastir,4452,2023
Muravera,5172,2023
Musei,1508,2023
Narcao,3052,2023
Nuragus,839,2023
Nurallao,1149,2023
Nuraminis,2311,2023
Nurri,2027,2023
Nuxis,1437,2023
Orroli,1968,2023
Ortacesus,873,2023
Pabillonis,2481,2023
Pauli Arbarei,567,2023
Perdaxius,1305,2023
Pimentel,1121,2023
Piscinas,794,2023
Portoscuso,4834,2023
Sadali,843,2023
Samassi,4803,2023
Samatzai,1534,2023
San Basilio,1124,2023
San Gavino Monreale,8072,2023
San Giovanni Suergiu,5644,2023
Sanluri,8132,2023
San Nicolò Gerrei,721,2023
San Sperate,8419,2023
Santadi,3170,2023
Sant'Andrea Frius,1692,2023
Sant'Anna Arresi,2620,2023
Sant'Antioco,10668,2023
San Vito,3428,2023
Sardara,3811,2023
Segariu,1112,2023
Selegas,1283,2023
Senorbì,4793,2023
Serdiana,2659,2023
Serramanna,8610,2023
Serrenti,4541,2023
Serri,613,2023
Setzu,131,2023
Seui,1153,2023
Seulo,782,2023
Siddi,583,2023
Siliqua,3565,2023
Silius,1034,2023
Siurgus Donigala,1824,2023
Soleminis,1869,2023
Suelli,1070,2023
Teulada,3256,2023
Tratalias,1021,2023
Tuili,930,2023
Turri,376,2023
Ussana,4027,2023
Ussaramanna,489,2023
Vallermosa,1806,2023
Villacidro,13210,2023
Villamar,2438,2023
Villamassargia,3367,2023
Villanovaforru,583,2023
Villanovafranca,1190,2023
Villanova Tulo,1005,2023
Villaperuccio,1007,2023
Villaputzu,4435,2023
Villasalto,955,2023
Villasimius,3689,2023
Villasor,6618,2023
Villaspeciosa,2575,2023
Aggius,1411,2024
Aglientu,1177,2024
Alà Dei Sardi,1776,2024
Alghero,42281,2024
Anela,560,2024
Ardara,716,2024
Arzachena,13436,2024
Badesi,1838,2024
Banari,515,2024
Benetutti,1664,2024
Berchidda,2584,2024
Bessude,375,2024
Bonnanaro,910,2024
Bono,3293,2024
Bonorva,3126,2024
Bortigiadas,709,2024
Borutta,242,2024
Bottidda,654,2024
Buddusò,3542,2024
Budoni,5504,2024
Bultei,804,2024
Bulzi,459,2024
Burgos,834,2024
Calangianus,3785,2024
Cargeghe,586,2024
Castelsardo,5625,2024
Cheremule,393,2024
Chiaramonti,1526,2024
Codrongianos,1267,2024
Cossoine,753,2024
Erula,688,2024
Esporlatu,366,2024
Florinas,1445,2024
Giave,477,2024
Golfo Aranci,2375,2024
Illorai,730,2024
Ittireddu,462,2024
Ittiri,7937,2024
Laerru,822,2024
La Maddalena,10582,2024
Loiri Porto San Paolo,3741,2024
Luogosanto,1802,2024
Luras,2375,2024
Mara,528,2024
Martis,459,2024
Monteleone Rocca Doria,103,2024
Monti,2348,2024
Mores,1698,2024
Muros,814,2024
Nughedu San Nicolò,725,2024
Nule,1286,2024
Nulvi,2588,2024
Olbia,61481,2024
Olmedo,4208,2024
Oschiri,2970,2024
Osilo,2791,2024
Ossi,5438,2024
Ozieri,9762,2024
Padria,585,2024
Padru,2089,2024
Palau,4113,2024
Pattada,2827,2024
Perfugas,2243,2024
Ploaghe,4242,2024
Porto Torres,21041,2024
Pozzomaggiore,2339,2024
Putifigari,665,2024
Romana,476,2024
Santa Maria Coghinas,1303,2024
Sant'Antonio Di Gallura,1427,2024
Santa Teresa Gallura,5044,2024
San Teodoro,5113,2024
Sassari,121085,2024
Sedini,1223,2024
Semestene,125,2024
Sennori,6856,2024
Siligo,765,2024
Sorso,14374,2024
Stintino,1529,2024
Telti,2217,2024
Tempio Pausania,13133,2024
Tergu,608,2024
Thiesi,2715,2024
Tissi,2342,2024
Torralba,874,2024
Trinità D'Agultu E Vignola,2351,2024
Tula,1431,2024
Uri,2842,2024
Usini,4187,2024
Valledoria,4314,2024
Viddalba,1595,2024
Villanova Monteleone,2074,2024
Aritzo,1217,2024
Arzana,2215,2024
Atzara,978,2024
Austis,741,2024
Bari Sardo,3823,2024
Baunei,3402,2024
Belvì,548,2024
Birori,490,2024
Bitti,2547,2024
Bolotana,2317,2024
Borore,1930,2024
Bortigali,1248,2024
Cardedu,1973,2024
Desulo,2042,2024
Dorgali,8320,2024
Dualchi,562,2024
Elini,551,2024
Fonni,3620,2024
Gadoni,658,2024
Gairo,1260,2024
Galtellì,2365,2024
Gavoi,2451,2024
Girasole,1366,2024
Ilbono,1971,2024
Irgoli,2208,2024
Jerzu,2947,2024
Lanusei,5024,2024
Lei,447,2024
Loceri,1303,2024
Loculi,489,2024
Lodè,1491,2024
Lodine,300,2024
Lotzorai,2116,2024
Lula,1242,2024
Macomer,9166,2024
Mamoiada,2389,2024
Meana Sardo,1579,2024
Noragugume,274,2024
Nuoro,33622,2024
Oliena,6530,2024
Ollolai,1154,2024
Olzai,756,2024
Onanì,353,2024
Onifai,718,2024
Oniferi,852,2024
Orani,2664,2024
Orgosolo,3905,2024
Orosei,6833,2024
Orotelli,1862,2024
Ortueri,1002,2024
Orune,2098,2024
Osidda,224,2024
Osini,701,2024
Ottana,2173,2024
Ovodda,1481,2024
Perdasdefogu,1717,2024
Posada,3024,2024
Sarule,1492,2024
Silanus,1946,2024
Sindia,1593,2024
Siniscola,11189,2024
Sorgono,1462,2024
Talana,957,2024
Tertenia,3862,2024
Teti,588,2024
Tiana,431,2024
Tonara,1757,2024
Torpè,2730,2024
Tortolì,11000,2024
Triei,1056,2024
Ulassai,1361,2024
Urzulei,1071,2024
Ussassai,445,2024
Villagrande Strisaili,2911,2024
Assemini,25762,2024
Cagliari,147411,2024
Capoterra,23130,2024
Decimomannu,8385,2024
Elmas,9521,2024
Maracalagonis,7934,2024
Monserrato,18827,2024
Pula,7122,2024
Quartucciu,12831,2024
Quartu Sant'Elena,68509,2024
Sarroch,5008,2024
Selargius,28437,2024
Sestu,20792,2024
Settimo San Pietro,6963,2024
Sinnai,17279,2024
Uta,8892,2024
Villa San Pietro,2159,2024
Abbasanta,2567,2024
Aidomaggiore,382,2024
Albagiara,229,2024
Ales,1257,2024
Allai,349,2024
Arborea,3733,2024
Ardauli,760,2024
Assolo,329,2024
Asuni,300,2024
Baradili,80,2024
Baratili San Pietro,1210,2024
Baressa,553,2024
Bauladu,612,2024
Bidonì,122,2024
Bonarcado,1533,2024
Boroneddu,156,2024
Bosa,7398,2024
Busachi,1131,2024
Cabras,8831,2024
Cuglieri,2446,2024
Curcuris,302,2024
Flussio,398,2024
Fordongianus,815,2024
Ghilarza,4121,2024
Gonnoscodina,427,2024
Gonnosnò,676,2024
Gonnostramatza,796,2024
Laconi,1645,2024
Magomadas,604,2024
Marrubiu,4559,2024
Masullas,1000,2024
Milis,1395,2024
Modolo,175,2024
Mogorella,402,2024
Mogoro,3869,2024
Montresta,443,2024
Morgongiori,643,2024
Narbolia,1640,2024
Neoneli,607,2024
Norbello,1121,2024
Nughedu Santa Vittoria,425,2024
Nurachi,1660,2024
Nureci,309,2024
Ollastra,1103,2024
Oristano,30287,2024
Palmas Arborea,1501,2024
Pau,270,2024
Paulilatino,2105,2024
Pompu,220,2024
Riola Sardo,2010,2024
Ruinas,586,2024
Sagama,188,2024
Samugheo,2708,2024
San Nicolò D'Arcidano,2451,2024
Santa Giusta,4601,2024
Santu Lussurgiu,2197,2024
San Vero Milis,2408,2024
Scano Di Montiferro,1384,2024
Sedilo,1934,2024
Seneghe,1620,2024
Senis,386,2024
Sennariolo,153,2024
Siamaggiore,866,2024
Siamanna,752,2024
Siapiccia,350,2024
Simala,293,2024
Simaxis,2100,2024
Sini,494,2024
Siris,228,2024
Soddì,121,2024
Solarussa,2253,2024
Sorradile,334,2024
Suni,980,2024
Tadasuni,126,2024
Terralba,9633,2024
Tinnura,248,2024
Tramatza,921,2024
Tresnuraghes,1011,2024
Ulà Tirso,452,2024
Uras,2669,2024
Usellus,694,2024
Villanova Truschedu,297,2024
Villa Sant'Antonio,325,2024
Villaurbana,1448,2024
Villa Verde,267,2024
Zeddiani,1127,2024
Zerfaliu,980,2024
Arbus,5658,2024
Armungia,399,2024
Ballao,719,2024
Barrali,1099,2024
Barumini,1135,2024
Buggerru,1026,2024
Burcei,2617,2024
Calasetta,2821,2024
Carbonia,25971,2024
Carloforte,5919,2024
Castiadas,1707,2024
Collinas,755,2024
Decimoputzu,4170,2024
Dolianova,9382,2024
Domus De Maria,1642,2024
Domusnovas,5801,2024
Donori,1959,2024
Escalaplano,2055,2024
Escolca,539,2024
Esterzili,560,2024
Fluminimaggiore,2631,2024
Furtei,1504,2024
Genoni,744,2024
Genuri,299,2024
Gergei,1101,2024
Gesico,728,2024
Gesturi,1136,2024
Giba,1914,2024
Goni,439,2024
Gonnesa,4557,2024
Gonnosfanadiga,6090,2024
Guamaggiore,894,2024
Guasila,2460,2024
Guspini,10856,2024
Iglesias,24908,2024
Isili,2443,2024
Las Plassas,205,2024
Lunamatrona,1597,2024
Mandas,1968,2024
Masainas,1198,2024
Monastir,4718,2024
Muravera,5085,2024
Musei,1498,2024
Narcao,3035,2024
Nuragus,815,2024
Nurallao,1126,2024
Nuraminis,2328,2024
Nurri,2017,2024
Nuxis,1420,2024
Orroli,1956,2024
Ortacesus,875,2024
Pabillonis,2438,2024
Pauli Arbarei,546,2024
Perdaxius,1301,2024
Pimentel,1102,2024
Piscinas,771,2024
Portoscuso,4792,2024
Sadali,802,2024
Samassi,4757,2024
Samatzai,1528,2024
San Basilio,1095,2024
San Gavino Monreale,7959,2024
San Giovanni Suergiu,5621,2024
Sanluri,8070,2024
San Nicolò Gerrei,727,2024
San Sperate,8488,2024
Santadi,3094,2024
Sant'Andrea Frius,1665,2024
Sant'Anna Arresi,2642,2024
Sant'Antioco,10601,2024
San Vito,3418,2024
Sardara,3777,2024
Segariu,1099,2024
Selegas,1278,2024
Senorbì,4793,2024
Serdiana,2645,2024
Serramanna,8504,2024
Serrenti,4506,2024
Serri,605,2024
Setzu,125,2024
Seui,1146,2024
Seulo,774,2024
Siddi,559,2024
Siliqua,3529,2024
Silius,1015,2024
Siurgus Donigala,1834,2024
Soleminis,1873,2024
Suelli,1080,2024
Teulada,3220,2024
Tratalias,988,2024
Tuili,916,2024
Turri,375,2024
Ussana,4017,2024
Ussaramanna,475,2024
Vallermosa,1783,2024
Villacidro,13117,2024
Villamar,2418,2024
Villamassargia,3326,2024
Villanovaforru,655,2024
Villanovafranca,1163,2024
Villanova Tulo,1007,2024
Villaperuccio,1006,2024
Villaputzu,4438,2024
Villasalto,938,2024
Villasimius,3721,2024
Villasor,6600,2024
Villaspeciosa,2616,2024
Aggius,1403,2025
Aglientu,1195,2025
Alà Dei Sardi,1758,2025
Alghero,41989,2025
Anela,561,2025
Ardara,702,2025
Arzachena,13435,2025
Badesi,1832,2025
Banari,506,2025
Benetutti,1643,2025
Berchidda,2577,2025
Bessude,370,2025
Bonnanaro,904,2025
Bono,3261,2025
Bonorva,3086,2025
Bortigiadas,700,2025
Borutta,242,2025
Bottidda,639,2025
Buddusò,3513,2025
Budoni,5577,2025
Bultei,788,2025
Bulzi,488,2025
Burgos,821,2025
Calangianus,3726,2025
Cargeghe,589,2025
Castelsardo,5600,2025
Cheremule,385,2025
Chiaramonti,1509,2025
Codrongianos,1247,2025
Cossoine,757,2025
Erula,691,2025
Esporlatu,361,2025
Florinas,1451,2025
Giave,468,2025
Golfo Aranci,2378,2025
Illorai,723,2025
Ittireddu,470,2025
Ittiri,7827,2025
Laerru,803,2025
La Maddalena,10488,2025
Loiri Porto San Paolo,3800,2025
Luogosanto,1815,2025
Luras,2368,2025
Mara,529,2025
Martis,452,2025
Monteleone Rocca Doria,103,2025
Monti,2383,2025
Mores,1710,2025
Muros,821,2025
Nughedu San Nicolò,720,2025
Nule,1273,2025
