Comune,Totale
Genuri,314
Gergei,1137
Gesico,771
Gesturi,1164
Giba,1919
Goni,455
Gonnesa,4697
Gonnosfanadiga,6243
Guamaggiore,919
Guasila,2509
Guspini,11134
Iglesias,25382
Isili,2503
Las Plassas,215
Lunamatrona,1649
Mandas,2028
Masainas,1227
Monastir,4469
Muravera,5171
Musei,1512
Narcao,3105
Nuragus,842
Nurallao,1178
Nuraminis,2339
Nurri,2034
Nuxis,1455
Orroli,2017
Ortacesus,883
Pabillonis,2540
Pauli Arbarei,564
Perdaxius,1326
Pimentel,1131
Piscinas,816
Portoscuso,4869
Sadali,873
Samassi,4836
Samatzai,1558
San Basilio,1150
San Gavino Monreale,8160
San Giovanni Suergiu,5689
Sanluri,8170
San Nicolò Gerrei,718
San Sperate,8398
Santadi,3194
Sant'Andrea Frius,1717
Sant'Anna Arresi,2663
Sant'Antioco,10756
San Vito,3488
Sardara,3842
Segariu,1112
Selegas,1306
Senorbì,4762
Serdiana,2665
Serramanna,8640
Serrenti,4581
Serri,629
Setzu,133
Seui,1178
Seulo,795
Siddi,595
Siliqua,3614
Silius,1064
Siurgus Donigala,1848
Soleminis,1854
Suelli,1082
Teulada,3300
Tratalias,1020
Tuili,948
Turri,391
Ussana,4023
Ussaramanna,492
Vallermosa,1810
Villacidro,13317
Villamar,2472
Villamassargia,3440
Villanovaforru,622
Villanovafranca,1201
Villanova Tulo,1019
Villaperuccio,1010
Villaputzu,4509
Villasalto,989
Villasimius,3705
Villasor,6599
Villaspeciosa,2536
