"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Lombardia","116","337"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Veneto","42","84"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Friuli-Venezia Giulia","3","3"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Liguria","9","23"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Emilia Romagna","22","59"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Toscana","22","88"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Umbria","8","32"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Marche","5","17"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Lazio","89","276"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Abruzzo","27","69"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Campania","41","110"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Puglia","31","186"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Basilicata",,"25"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Calabria","3","7"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Sicilia","21","69"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Sardegna","302","547"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Bolzano","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Trento","3","5"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Francia",,"1"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Paesi Bassi","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Regno Unito","3","5"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Grecia","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Belgio","3","9"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Svezia","2","6"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Svizzera (incluso Liechtenstein)","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Austria","19","44"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Malta","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Repubblica Ceca","2","8"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Slovacchia",,"1"
