Comune,Superficie_kmq
Portoscuso,38.4695
Posada,33.0856
Pozzomaggiore,78.8488
Pula,138.8054
Putifigari,52.8938
Quartu Sant'Elena,96.1551
Quartucciu,27.749
Riola Sardo,47.9381
Romana,21.3928
Ruinas,30.5852
Sadali,49.3404
Sagama,11.8501
Samassi,42.1206
Samatzai,31.2932
Samugheo,81.53
San Basilio,44.5606
San Gavino Monreale,87.522
San Giovanni Suergiu,72.1446
San Nicolò Gerrei,63.2851
San Nicolò d'Arcidano,28.223
San Sperate,26.214
San Teodoro,105.0422
San Vero Milis,72.3759
San Vito,231.6011
Sanluri,84.1439
Sant'Andrea Frius,36.0975
Sant'Anna Arresi,36.7255
Sant'Antioco,88.6756
Sant'Antonio di Gallura,81.3029
Santa Giusta,69.4534
Santa Maria Coghinas,23.4126
Santa Teresa Gallura,103.3964
Santadi,116.144
Santu Lussurgiu,99.9073
Sardara,56.3162
Sarroch,68.3268
Sarule,52.5405
Sassari,547.3165
Scano di Montiferro,60.4645
Sedilo,68.5187
Sedini,40.5273
Segariu,17.0684
Selargius,26.6759
Selegas,20.2878
Semestene,39.4882
Seneghe,57.8092
Senis,16.2381
Sennariolo,15.8381
Sennori,31.1034
Senorbì,34.7288
Serdiana,55.4482
Serramanna,83.9342
Serrenti,42.8058
Serri,19.1011
Sestu,48.3672
Settimo San Pietro,23.0848
Setzu,7.7473
Seui,147.7812
Seulo,59.0678
Siamaggiore,13.1321
Siamanna,28.3448
Siapiccia,17.8311
Siddi,11.1868
Silanus,48.1514
Siligo,43.1861
Siliqua,189.7834
Silius,38.3472
Simala,13.3464
Simaxis,27.7352
Sindia,58.8185
Sini,8.8515
Siniscola,196.8252
Sinnai,224.089
Siris,6.0689
Siurgus Donigala,76.1195
Soddì,5.4929
Solarussa,31.7647
Soleminis,12.8746
Sorgono,55.9871
Sorradile,26.4828
Sorso,67.0055
Stintino,59.0931
Suelli,19.2832
Suni,47.3012
Tadasuni,5.1496
Talana,118.7005
Telti,83.3583
Tempio Pausania,210.556
Tergu,36.725
Terralba,49.7337
Tertenia,117.7256
Teti,44.1337
Teulada,246.5657
Thiesi,63.1137
Tiana,19.063
Tinnura,3.8266
Tissi,10.2203
Tonara,52.2172
Torpè,92.3598
Torralba,36.3386
Tortolì,40.4156
Tramatza,16.9477
Tratalias,30.975
Tresnuraghes,31.3996
Triei,32.8492
Trinità d'Agultu e Vignola,134.0923
Tuili,24.4486
Tula,66.2784
Turri,9.4225
Ulassai,122.3609
Ulà Tirso,19.1827
Uras,39.2666
Uri,56.7643
Urzulei,129.6323
Usellus,35.1174
Usini,30.6058
Ussana,32.7999
Ussaramanna,9.5464
Ussassai,47.4295
Uta,134.5601
Valledoria,25.3739
Vallermosa,61.5674
Viddalba,50.3657
Villa San Pietro,40.2756
Villa Sant'Antonio,18.6929
Villa Verde,17.6789
Villacidro,183.5093
Villagrande Strisaili,210.2386
Villamar,38.2067
Villamassargia,91.426
Villanova Monteleone,202.5996
Villanova Truschedu,16.6183
Villanova Tulo,40.7307
Villanovaforru,10.7697
Villanovafranca,27.7242
Villaperuccio,36.6979
Villaputzu,180.6867
Villasalto,130.3421
Villasimius,58.1727
Villasor,86.7929
Villaspeciosa,27.0633
Villaurbana,58.7328
Zeddiani,12.0524
Zerfaliu,15.7513
